,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
0,33562152,28.0,30.0,41.0,7.6,8.13,15.87,11.4,360,43.5,1.3,258.7,41.80059994,-1.619468973,2015-07-14,2015-06-27,2015-07-31,1353,1375,1487,1809,2036,2597,2906,2713,3164,700,11,2960,2197,0.19991154356479435
1,33622176,28.0,27.0,45.0,7.4,7.57,89.8,8.2,452,59.2,2.0,862.5,42.022886659,-1.589123399,2015-07-12,2015-06-25,2015-07-29,1632,1632,1873,2425,2530,2938,3300,3373,3663,963,11,4134,2929,0.1635046567781994
2,33562164,41.0,18.0,41.0,7.8,8.29,18.53,3.9,534,10.6,0.8,198.2,41.907586382,-1.64002511,2015-07-13,2015-06-26,2015-07-30,2207,2790,3020,3632,3717,4007,4284,4156,4550,1074,15,4972,3914,0.06728299948638931
3,33522152,27.0,33.0,39.0,7.6,7.97,16.93,12.8,145,11.3,1.6,161.4,41.795040368,-1.667001639,2015-07-14,2015-06-27,2015-07-31,1487,1446,1637,2085,2275,2767,3092,2945,3286,844,10,3403,2370,0.1709741550695825
4,33502106,24.0,36.0,40.0,7.5,7.67,42.5,25.7,215,9.3,1.8,173.4,41.382041684,-1.612403522,2015-07-18,2015-07-01,2015-08-04,1509,1378,1542,1900,1982,2370,2681,2772,2947,897,16,3628,2670,0.18664383561643835
5,33722078,45.0,20.0,35.0,7.5,7.96,14.46,8.1,60,24.9,1.1,361.4,41.162208338,-1.306582371,2015-07-20,2015-07-03,2015-08-06,1399,1394,1571,2287,2487,2679,2928,2829,3175,1044,18,4327,3194,0.10594214229867084
6,33782070,34.0,36.0,30.0,7.4,7.71,26.1,7.0,81,16.0,1.0,378.2,41.098824229,-1.222987377,2015-07-20,2015-07-03,2015-08-06,1358,1512,1676,2394,2632,2989,3268,3126,3469,1128,17,4141,2844,0.13260869565217392
7,33742074,28.0,32.0,40.0,7.5,7.7,23.6,9.2,48,35.7,1.4,199.5,41.129182885,-1.276525914,2015-07-20,2015-07-03,2015-08-06,1321,1242,1416,1997,2162,2312,2500,2445,2688,895,16,3599,2744,0.10085547050877983
8,33422074,36.0,21.0,43.0,7.5,7.75,39.8,19.3,421,66.0,2.1,513.4,41.08546264,-1.6527261309999999,2015-07-22,2015-07-05,2015-08-08,1466,1301,1432,1814,2429,2746,2994,2686,3238,1184,18,4433,3304,0.19377777777777777
9,33222058,16.0,69.0,15.0,5.2,5.68,8.39,4.4,0,60.9,0.6,112.9,40.914713749,-1.860297436,2015-07-22,2015-07-05,2015-08-08,1489,1510,1711,2428,2516,2815,3057,3089,3259,1265,15,3297,2358,0.11981149175276418
