,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,NDVI
0,33562152,28.0,30.0,41.0,7.6,8.13,15.87,11.4,360,43.5,1.3,258.7,41.80059994,-1.619468973,2015-07-14,2015-06-27,2015-07-31,1353,1375,1487,1809,2036,2597,2906,2713,3164,700,11,2960,2197,442655935.61368185,1661721068.2492585,3072519083.9694676,5746835443.037974,15412087912.087875,7304964539.0070915,-3860000000.0000043,14137931034.482777,-30646766169.15423,-1608309990.6629314,12277268942.547886,-1296076099.881094,2.4528473493673564e+16,2.0931721301486788e+16,2.5518285868974316e+16,2.4468993592531392e+17,-2.2272316959013088e+17,-2.6394715222238995e+17,3.59958620689656e+17,-1.4039090032488108e+18,3.6117482809068774e+17,3.2412649237186772e+16,-5.6508513915191464e+16,1.0,0.8702832883648582,0.7877251750591422,0.7644966362893064,0.7994873627410852,0.9572974773332182,1.0,0.8855857320843965,1.0,0.22278080068855965,0.0036358568654191927,1.0,0.19991154356479435
1,33622176,28.0,27.0,45.0,7.4,7.57,89.8,8.2,452,59.2,2.0,862.5,42.022886659,-1.589123399,2015-07-12,2015-06-25,2015-07-29,1632,1632,1873,2425,2530,2938,3300,3373,3663,963,11,4134,2929,0.0,3575667655.786351,5267175572.519088,2658227848.1012654,11208791208.791182,8557919621.749409,1460000000.0000017,9090909090.909101,-33582089552.238804,-2222222222.222222,17164862614.487938,-2046882962.459657,7.1945023255258536e+16,2.509655662808215e+16,-2.4894539355131908e+16,2.1646995849847888e+17,-7.282614250114742e+16,-1.677995182446668e+17,1.5261818181818218e+17,-1.3377115562115346e+18,3.900481011196092e+17,4.525463313891259e+16,-7.998228799728395e+16,1.0,0.8700516723442916,0.848928789417431,0.8914473669988426,0.8682162423526202,0.950027458380777,1.0,0.9578000832119825,1.0,0.25931999484873997,0.00276176997040592,1.0,0.1635046567781994
2,33562164,41.0,18.0,41.0,7.8,8.29,18.53,3.9,534,10.6,0.8,198.2,41.907586382,-1.64002511,2015-07-13,2015-06-26,2015-07-30,2207,2790,3020,3632,3717,4007,4284,4156,4550,1074,15,4972,3914,11730382293.76257,3412462908.0118704,5839694656.488553,2151898734.177215,7967032967.032948,6548463356.973995,-2560000000.000003,12351097178.683401,-43233830845.77114,-2471988795.5182066,20636969192.33973,-1797180227.6201801,-1.6736256309357533e+17,3.60123404818499e+16,-3.5188892388466988e+16,1.472185881735628e+17,-3.897169258403706e+16,-2.1533010300174938e+17,2.982219435736684e+17,-1.742474232741524e+18,5.069880852021509e+17,5.394247896325381e+16,-9.339779109059085e+16,1.0,1.0,0.9627805815624699,0.9880560136425619,0.9582075672186262,0.9853967905559036,1.0,0.934690174308188,1.0,0.23371711984745072,0.003101309213474859,1.0,0.06728299948638931
3,33522152,27.0,33.0,39.0,7.6,7.97,16.93,12.8,145,11.3,1.6,161.4,41.795040368,-1.667001639,2015-07-14,2015-06-27,2015-07-31,1487,1446,1637,2085,2275,2767,3092,2945,3286,844,10,3403,2370,-824949698.1891344,2833827893.175075,4274809160.3053465,4810126582.278481,13516483516.483484,7683215130.023641,-2940000000.0000033,10689655172.413807,-30373134328.358208,-1946778711.4845934,14125728559.533731,-1754713776.1168678,7.361725535944078e+16,2.137954402270433e+16,5107990667682580.0,2.2041409960012666e+17,-1.6025462600164368e+17,-2.5113983758921142e+17,2.725931034482765e+17,-1.2872347805884662e+18,3.535616370257912e+17,3.751752397529954e+16,-6.611341521919488e+16,1.0,0.8399435556651678,0.8026011346537034,0.8227479242426599,0.8362129255096618,0.956652333333706,1.0,0.9173205676844601,1.0,0.2558692940656858,0.002971345439496504,1.0,0.1709741550695825
4,33502106,24.0,36.0,40.0,7.5,7.67,42.5,25.7,215,9.3,1.8,173.4,41.382041684,-1.612403522,2015-07-18,2015-07-01,2015-08-04,1509,1378,1542,1900,1982,2370,2681,2772,2947,897,16,3628,2670,-2635814889.3360147,2433234421.364986,3416030534.351147,2075949367.0886075,10659340659.340633,7352245862.88416,1820000000.000002,5485893416.927906,-25497512437.810944,-2056489262.371615,15037468776.019993,-1627314421.6069305,1.0199294387728365e+17,1.4581544703058776e+16,-1.27870340387647e+16,2.17301045373469e+17,-9.08542526499029e+16,-1.3078595420529925e+17,7.331786833855816e+16,-9.712666412143852e+17,2.915550146198921e+17,3.9901862834714296e+16,-6.937878100594061e+16,1.0,0.8201070487434539,0.8062610605761746,0.8356506336598095,0.8224761787162735,0.9348255835867936,1.0,0.9748915614845632,1.0,0.29700996712989436,0.0046926226443006905,1.0,0.18664383561643835
5,33722078,45.0,20.0,35.0,7.5,7.96,14.46,8.1,60,24.9,1.1,361.4,41.162208338,-1.306582371,2015-07-20,2015-07-03,2015-08-06,1399,1394,1571,2287,2487,2679,2928,2829,3175,1044,18,4327,3194,-100603621.73038223,2626112759.6439176,6832061068.702294,5063291139.240506,5274725274.725262,5886524822.695035,-1980000000.0000021,10846394984.326033,-26504975124.37811,-2394957983.193277,17939217318.90093,-1924579582.1301174,5.486350867956335e+16,6.24027939029433e+16,-1.6877575662803334e+16,5352762923664696.0,1.6807679889279446e+16,-1.8596985396442166e+17,2.5652789968652096e+17,-1.1708893451004447e+18,2.998758350893636e+17,4.746539519629832e+16,-8.269690633235245e+16,1.0,0.8592007266516755,0.8159128454362844,0.9542669782906077,0.9661308275855374,0.9785120564007774,1.0,0.9188663875770762,1.0,0.31649222053156034,0.004548256761340262,1.0,0.10594214229867084
6,33782070,34.0,36.0,30.0,7.4,7.71,26.1,7.0,81,16.0,1.0,378.2,41.098824229,-1.222987377,2015-07-20,2015-07-03,2015-08-06,1358,1512,1676,2394,2632,2989,3268,3126,3469,1128,17,4141,2844,3098591549.295773,2433234421.364986,6851145038.167943,6025316455.696202,9807692307.692284,6595744680.851064,-2840000000.0000033,10752351097.178696,-29116915422.88557,-2593370681.605975,17169025811.823492,-2203159503.9918466,-1.338746736279249e+16,6.5547635264138856e+16,-7880043725875394.0,9.575635068344509e+16,-8.824031941871462e+16,-2.2306725013832307e+17,2.718470219435743e+17,-1.2498202670866557e+18,3.298948350905422e+17,4.613071076897634e+16,-8.065023029065509e+16,1.0,0.9235759437971144,0.8315005554933154,0.9192879904905221,0.9313447569724715,0.9863243118106196,1.0,0.9219306357382376,1.0,0.3185419742444868,0.004330665732125349,1.0,0.13260869565217392
7,33742074,28.0,32.0,40.0,7.5,7.7,23.6,9.2,48,35.7,1.4,199.5,41.129182885,-1.276525914,2015-07-20,2015-07-03,2015-08-06,1321,1242,1416,1997,2162,2312,2500,2445,2688,895,16,3599,2744,-1589537223.3400393,2581602373.887241,5543893129.770996,4177215189.8734174,4120879120.879111,4444444444.444445,-1100000000.0000012,7617554858.934178,-22300995024.87562,-2051820728.291316,14916736053.288937,-1452352641.4132836,8.392635004481445e+16,4.3950901422607656e+16,-1.3040820037190644e+16,-1426229594792571.2,8889157240805853.0,-1.3107433674809563e+17,1.7435109717868378e+17,-9.378855762949792e+17,2.5185540169880976e+17,3.960914281414624e+16,-6.814774643922661e+16,1.0,0.8317197919776066,0.8199464358379317,0.9553905641389793,0.970735852735719,0.9824244360448053,1.0,0.9350712117674527,1.0,0.32127336696961556,0.004838445031000931,1.0,0.10085547050877984
8,33422074,36.0,21.0,43.0,7.5,7.75,39.8,19.3,421,66.0,2.1,513.4,41.08546264,-1.652726131,2015-07-22,2015-07-05,2015-08-08,1466,1301,1432,1814,2429,2746,2994,2686,3238,1184,18,4433,3304,-3319919517.102614,1943620178.0415435,3645038167.938934,15569620253.164557,8708791208.791187,5862884160.756501,-6160000000.000007,17304075235.109737,-25547263681.592037,-2721755368.814192,18380516236.46962,-1917784949.8895874,1.0590623129062685e+17,2.5243590354560696e+16,1.1378418020253464e+17,-1.7369187454109795e+17,-7.818425956139229e+16,-2.84228939970603e+17,4.692815047021954e+17,-1.3433021603981763e+18,2.8389935712410256e+17,4.925833708049442e+16,-8.450583341531733e+16,1.0,0.770145138219499,0.7188370921162825,0.7365147105628151,0.9199304726094198,0.9793310787783458,1.0,0.8546078103062601,1.0,0.35172408322558635,0.004444696463693733,1.0,0.19377777777777774
9,33222058,16.0,69.0,15.0,5.2,5.68,8.39,4.4,0,60.9,0.6,112.9,40.914713749,-1.860297436,2015-07-22,2015-07-05,2015-08-08,1489,1510,1711,2428,2516,2815,3057,3089,3259,1265,15,3297,2358,422535211.2676054,2982195845.69733,6841603053.435119,2227848101.2658224,8214285714.285694,5721040189.125296,640000000.0000007,5329153605.01568,-24800995024.87562,-2917833800.186741,13663613655.28727,-1595039918.4644132,5.150222604486365e+16,5.7261234536168984e+16,-4.402437931459255e+16,1.5155538260809802e+17,-6.8495756185725064e+16,-1.2011915340721736e+17,9.37830721003137e+16,-9.445187658273147e+17,2.7217862219762288e+17,3.870552627328199e+16,-6.352478590238007e+16,1.0,0.8788587436905149,0.843322898395804,0.9665413898620481,0.9338714924770605,0.9835848899784488,1.0,0.9712855652684032,1.0,0.38767065859884314,0.004566469134529928,1.0,0.11981149175276418
