,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
0,39423106,15.0,33.0,52.0,6.1,6.46,14.14,9.7,0,32.1,1.2,123.0,50.939472091999995,4.602448148,2015-10-22,2015-10-05,2015-11-08,4124,3959,3530,3624,3748,4169,4345,4289,4456,2697,1129,2742,2414,0.08403892329078731
1,39703092,26.0,15.0,59.0,6.5,6.83,21.3,16.7,1,82.8,2.1,297.0,50.83183563,5.013522111,2015-10-22,2015-10-05,2015-11-08,5160,5023,4609,4874,5012,5480,5689,5617,5767,3240,543,3771,2876,0.0708226098560671
2,39303122,21.0,43.0,37.0,6.9,7.3,26.1,33.9,38,232.3,2.3,426.2,51.07473643,4.414866851,2015-09-25,2015-09-08,2015-10-12,1636,1376,1237,1285,1437,1695,1808,1722,1916,687,12,1880,1533,0.14532756900565347
3,38643070,20.0,16.0,64.0,6.4,6.84,12.69,12.9,0,45.8,1.5,177.3,50.560323476,3.541263939,2015-06-28,2015-06-11,2015-07-15,7241,5697,5941,6992,7229,8094,8637,7570,8909,4708,88,6811,5576,0.03969234995192968
4,38363144,21.0,14.0,65.0,4.5,5.03,49.2,41.3,0,91.8,4.5,324.7,51.199276989,3.049148572,2015-09-21,2015-09-04,2015-10-08,1221,1152,1183,1251,1268,1306,1334,1272,1338,975,127,361,387,0.008323424494649227
5,39563098,19.0,22.0,59.0,6.6,6.96,17.49,10.3,1,87.3,1.3,179.6,50.876875515,4.809229092,2015-10-19,2015-10-02,2015-11-05,5802,5407,5207,5523,5788,6199,6367,6043,6554,4220,1013,4425,3640,0.044959363652083695
6,38483134,5.0,68.0,27.0,3.4,3.8,14.52,27.6,0,24.6,2.0,35.3,51.119955596000004,3.23339195,2015-10-01,2015-09-14,2015-10-18,548,699,675,652,643,685,708,799,711,219,2,441,275,0.10130944176430048
7,38203142,39.0,14.0,47.0,7.3,7.79,24.2,19.2,44,21.2,2.3,611.8,51.167514273,2.823965443,2015-09-10,2015-08-24,2015-09-27,1240,970,734,600,591,696,754,677,747,204,11,513,304,0.060297572435395456
8,38223144,43.0,13.0,44.0,7.4,7.91,22.4,4.5,246,20.6,2.1,399.7,51.187151789,2.849661825,2015-09-10,2015-08-24,2015-09-27,1217,908,648,436,448,600,627,560,609,157,11,250,134,0.12449799196787148
9,38263134,,,,6.4,6.67,29.7,18.0,1,74.2,2.1,86.5,51.101250481,2.920427071,2015-09-24,2015-09-07,2015-10-11,711,730,762,811,798,867,905,858,937,262,2,541,368,0.02816057519472738
10,38583090,,,,7.1,7.59,19.74,12.3,14,102.4,1.7,274.9,50.7345076,3.43178056,2015-06-28,2015-06-11,2015-07-15,5667,5098,5019,5387,5884,6771,7413,6469,7744,3349,53,5698,4529,0.09126180836707153
11,38083120,,,,6.3,6.62,24.9,14.9,1,124.7,1.9,230.8,50.96020162399999,2.6844028160000004,2015-09-09,2015-08-23,2015-09-26,4663,4826,4949,5497,5579,6246,6660,6553,6760,2646,36,5091,3935,0.08763485477178423
12,39483050,,,,6.6,6.98,9.0,24.7,0,54.0,1.9,118.7,50.441502653,4.744357741,2015-08-10,2015-07-24,2015-08-27,1438,1313,1289,1514,1616,1935,2142,2060,2411,448,12,3107,2128,0.1527700055959709
13,39303032,,,,7.3,7.67,19.64,14.4,36,52.4,1.6,141.5,50.268320195,4.510356042,2015-08-10,2015-07-24,2015-08-27,1531,1446,1558,1781,1906,2413,2698,2585,2868,557,15,2970,2286,0.1841502519468621
14,38183132,,,,7.1,7.31,33.6,34.3,101,75.9,4.1,303.4,51.076362273,2.809471392,2015-09-24,2015-09-07,2015-10-11,901,927,924,963,939,1013,1062,1043,1097,404,4,630,465,0.03988035892323031
