,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
0,39262352,25.0,29.0,46.0,7.1,7.51,19.39,34.7,255,6.1,1.8,156.5,44.161069321999996,5.068574915,2015-07-14,2015-06-27,2015-07-31,6746,6470,6228,6650,6901,7213,7492,6939,7493,4652,1029,4907,4271,0.0212672014129075
1,40222524,33.0,16.0,51.0,4.3,4.56,35.1,45.4,1,10.4,3.7,165.8,45.759297573000005,6.160039567,2015-07-13,2015-06-26,2015-07-30,2851,2947,2745,2718,2813,3436,3691,3721,3831,1980,270,2360,2011,0.15576952943003572
2,40482568,23.0,29.0,48.0,4.5,4.84,13.57,44.5,0,9.8,4.0,128.0,46.166702718,6.4677904989999995,2015-07-31,2015-07-14,2015-08-17,4098,3441,2839,2667,3304,3830,4109,3942,4311,2452,100,3404,2773,0.1929187471629596
3,40082398,41.0,9.0,51.0,7.3,7.57,28.7,32.3,54,8.0,4.1,112.8,44.618867877,6.061887463,2015-09-25,2015-09-08,2015-10-12,5041,4288,3942,3854,4087,4859,5367,5285,5688,3298,112,3593,2714,0.15658168289747237
4,36642184,25.0,24.0,51.0,5.6,5.92,7.86,20.7,0,8.3,2.4,126.4,42.447888610999996,2.023218886,2015-07-18,2015-07-01,2015-08-04,1371,1334,1409,1748,1904,2184,2338,2336,2546,1107,17,2919,2032,0.14397649363369247
5,40342388,10.0,64.0,27.0,7.7,8.07,41.4,3.7,341,0.0,0.8,58.9,44.540650836000005,6.3943152439999995,2015-09-30,2015-09-13,2015-10-17,1514,1467,1391,1385,1325,1681,1845,1734,1835,547,11,1584,1199,0.11189483808913113
6,40162496,32.0,13.0,55.0,5.8,6.12,26.4,20.6,1,8.0,2.8,62.3,45.504595282,6.101092775,2015-10-23,2015-10-06,2015-11-09,5022,4841,4633,4988,5150,5528,5768,5602,5935,3290,102,5258,4674,0.05797922568460812
7,38602440,14.0,20.0,66.0,3.7,4.0,49.9,117.4,0,61.7,9.4,233.6,44.909433236000005,4.166039349,2015-10-23,2015-10-06,2015-11-09,5590,5411,5069,5398,5379,5599,5786,5805,5910,3161,56,4793,4095,0.03632955458359368
8,36702214,8.0,63.0,29.0,6.5,7.04,13.34,50.2,8,17.0,4.5,194.4,42.72282162,2.059845328,2015-07-10,2015-06-23,2015-07-27,1293,1203,1238,1124,1379,1867,2274,1636,2377,723,27,1835,1289,0.1855072463768116
9,38262486,12.0,40.0,48.0,3.8,3.87,35.7,65.8,0,41.2,5.3,111.4,45.297578781999995,3.6906658119999998,2015-11-09,2015-10-23,2015-11-26,2372,1916,1522,1398,1530,1930,2148,1886,2266,920,269,1478,1185,0.14859926918392205
10,40102612,8.0,57.0,35.0,5.5,5.76,66.0,318.6,9,34.1,15.8,268.3,46.54492913,5.947081083,2015-07-16,2015-06-29,2015-08-02,2195,2455,2459,2594,2870,3656,4079,3755,4327,1507,17,3565,2717,0.1828634430618995
11,40022424,26.0,13.0,62.0,6.6,6.82,54.7,39.8,4,8.5,5.2,142.9,44.850012748999994,5.969773264,2015-08-01,2015-07-15,2015-08-18,9229,9206,9007,7980,7959,8172,8892,9729,9262,6414,513,3445,3021,0.09876334067423344
12,40262632,27.0,14.0,59.0,7.0,7.33,55.7,85.1,80,8.9,7.4,195.8,46.732402259,6.142211375,2015-07-13,2015-06-26,2015-07-30,4812,4764,4688,5138,5303,5692,5917,5850,6052,3736,271,5462,4344,0.06479796141244995
13,42462078,5.0,70.0,25.0,4.6,5.08,18.76,58.1,1,11.5,4.1,181.4,41.800799776,9.100939339,2015-09-25,2015-09-08,2015-10-12,284,291,286,292,299,360,388,381,409,149,2,350,315,0.13224368499257058
14,38342434,25.0,25.0,50.0,5.8,6.14,19.32,15.2,1,31.9,1.8,398.3,44.83675066399999,3.844191946,2015-10-22,2015-10-05,2015-11-08,6588,6141,5593,5919,5980,6062,6210,5974,6287,3073,50,4181,3132,0.004624569074245354
15,38822466,6.0,63.0,31.0,3.1,3.68,21.5,141.5,1,34.6,7.6,104.2,45.158155668,4.420160574,2015-11-11,2015-10-25,2015-11-28,3707,3534,3085,2992,3097,3369,3549,3644,3629,1948,692,2791,2324,0.09825195901145269
16,38702362,22.0,21.0,57.0,7.0,7.31,18.63,56.2,275,11.6,4.8,417.8,44.215390721000006,4.362660629,2015-07-25,2015-07-08,2015-08-11,2636,2306,2132,2143,2375,3010,3297,3210,3535,1563,143,1651,1195,0.1993274799178031
17,38682370,26.0,42.0,31.0,7.4,8.0,13.76,3.4,463,7.8,0.9,86.1,44.285946169,4.330585757,2015-07-31,2015-07-14,2015-08-17,1426,1426,1576,2149,2335,2936,3132,3005,3575,848,13,3817,2581,0.1660845944897167
18,39622348,26.0,13.0,61.0,6.2,6.43,50.7,70.9,2,14.5,6.9,382.3,44.14546139,5.519886903,2015-09-20,2015-09-03,2015-10-07,3675,3144,2824,2796,2882,3208,3393,3130,3495,1462,23,2058,1284,0.05636179547755653
19,40282302,19.0,32.0,50.0,5.2,5.45,107.2,136.4,1,21.4,10.9,346.5,43.76339145399999,6.3685568120000005,2015-07-15,2015-06-28,2015-08-01,4489,4573,4355,4406,4597,5131,5354,5409,5510,3698,1192,4703,4144,0.102190524707081
20,40242306,12.0,38.0,50.0,6.6,6.86,88.4,181.3,23,15.7,9.1,297.9,43.797671695,6.316752763999999,2015-07-15,2015-06-28,2015-08-01,5222,5382,5102,5216,5437,5903,6077,6148,6094,4247,1387,5641,4772,0.0820133755719817
21,38682466,15.0,38.0,47.0,4.2,4.56,32.8,39.5,0,24.1,4.2,212.4,45.148579383999994,4.242813132,2015-11-11,2015-10-25,2015-11-28,6163,6391,5786,5951,5963,6069,6260,6358,6341,2678,359,3779,2850,0.03306523681858802
22,38322442,15.0,21.0,64.0,4.7,5.08,32.6,87.8,0,35.2,6.3,65.9,44.907099935,3.811057274,2015-10-22,2015-10-05,2015-11-08,7651,7649,7209,7701,7845,8014,8189,7996,8268,4089,68,5858,4630,0.01879340001274129
23,38422440,23.0,18.0,58.0,5.7,5.94,47.7,55.2,0,27.5,5.8,109.1,44.896524873999994,3.939089805,2015-10-22,2015-10-05,2015-11-08,8173,7786,7412,7923,8248,8442,8645,8105,8737,4341,78,5075,3582,0.011355128525081108
24,38542438,11.0,28.0,61.0,5.5,5.86,15.44,101.6,1,19.7,10.0,476.6,44.887220123999995,4.0922799,2015-07-27,2015-07-10,2015-08-13,3703,3615,3649,4040,4180,4763,5143,4719,5409,2416,48,4583,3819,0.07752026487041899
25,38342524,7.0,59.0,35.0,3.4,4.16,22.8,126.7,0,33.0,7.9,120.5,45.644680672,3.753520374,2015-10-20,2015-10-03,2015-11-06,6358,6199,5746,6103,6278,6452,6628,6542,6759,3373,50,5341,4098,0.03471727955713721
26,38302518,10.0,47.0,43.0,4.6,4.97,17.93,27.9,1,14.2,3.1,95.5,45.587808041,3.708627784,2015-10-21,2015-10-04,2015-11-07,4929,5244,4904,5244,5302,5542,5853,5804,5989,2673,41,5213,4774,0.05068790731354091
27,38342506,12.0,51.0,38.0,3.8,4.44,7.73,39.5,0,31.0,3.0,114.5,45.483138821000004,3.771932811,2015-10-22,2015-10-05,2015-11-08,5072,4637,4266,4482,4764,5047,5348,5028,5506,2712,45,4625,4060,0.05741324921135647
28,38482508,12.0,37.0,50.0,3.8,3.95,42.4,59.5,1,35.9,5.7,99.2,45.511472647,3.948304522,2015-10-22,2015-10-05,2015-11-08,6114,5677,5268,5652,5777,5988,6193,5898,6284,3179,44,4947,3914,0.0212987012987013
29,38362502,9.0,55.0,35.0,4.1,4.48,29.6,61.3,0,59.7,4.1,186.2,45.448737785,3.8014641160000004,2015-10-22,2015-10-05,2015-11-08,6936,6816,6416,6941,7085,7310,7494,7091,7629,3637,52,5591,4348,0.010689851767388826
30,38342494,11.0,56.0,33.0,3.8,4.36,14.44,50.0,0,17.6,3.1,90.8,45.37543216,3.7841295930000003,2015-10-23,2015-10-06,2015-11-09,7075,6776,6353,6794,6974,7147,7358,7012,7471,3857,57,5505,4328,0.01579023612921918
31,38362496,15.0,36.0,49.0,3.6,3.97,41.6,85.8,0,50.8,5.9,129.0,45.394882353999996,3.807535272,2015-10-23,2015-10-06,2015-11-09,6004,5397,5128,5487,5323,5548,5833,5836,5915,3248,47,4790,4081,0.0308222202596485
32,40242526,21.0,29.0,49.0,4.6,4.97,31.5,41.8,1,10.3,3.2,117.2,45.778214842,6.184426529,2015-07-13,2015-06-26,2015-07-30,2870,2725,2466,2352,2510,3060,3311,3289,3379,1712,187,2154,1718,0.16610530047863853
33,40502560,28.0,20.0,52.0,5.3,5.75,8.16,65.0,1,5.2,5.6,92.1,46.09558741,6.498310807,2015-07-31,2015-07-14,2015-08-17,3564,3063,2884,2874,3253,3987,4367,4243,4573,2191,63,3895,3144,0.19235632991428972
34,40562532,25.0,19.0,56.0,5.0,5.24,81.8,38.7,1,25.4,5.3,106.0,45.846175593000005,6.591627118,2015-08-02,2015-07-16,2015-08-19,4995,4752,4636,4963,5249,5781,6156,5935,6443,3204,103,4945,4244,0.08919067718847495
35,34722780,,,,3.2,4.16,18.55,141.0,0,33.7,7.6,180.5,47.547402578,-1.321545625,2015-11-11,2015-10-25,2015-11-28,6344,6218,5623,6089,5982,6285,6617,6136,6805,1731,31,4616,2958,0.0038445807770961147
36,33422866,,,,4.2,4.56,39.1,39.5,1,42.0,4.1,68.0,48.11557217,-3.222652503,2015-11-02,2015-10-16,2015-11-19,6951,6981,6273,6475,6591,6745,6911,7126,7048,3056,29,4597,3032,0.0478641276376737
37,38522830,,,,7.4,7.79,22.3,20.0,377,50.9,2.4,329.9,48.40198472,3.659649649,2015-08-18,2015-08-01,2015-09-04,1651,1605,1717,2190,2339,2549,2835,2801,3141,736,15,3868,2943,0.12242035664195552
38,37562704,,,,6.1,6.37,14.62,9.8,0,43.3,1.2,154.0,47.193157441000004,2.535785153,2015-06-23,2015-06-06,2015-07-10,1351,1202,1215,1560,1742,2026,2362,2323,2789,646,11,2419,1408,0.19649755343806335
39,37402684,,,,6.8,7.18,16.95,14.3,3,27.8,1.8,261.5,46.999515534,2.3519971859999997,2015-06-20,2015-06-03,2015-07-07,1365,1256,1265,1670,1816,2070,2390,2311,2837,610,16,2357,1346,0.1610148203968852
40,38182982,,,,7.3,7.62,12.48,7.6,1,48.2,1.1,147.7,49.735058431999995,3.011447343,2015-08-25,2015-08-08,2015-09-11,1612,1381,1305,1448,1539,1776,1935,1879,2082,510,16,2070,1384,0.12954613766155695
41,37602708,,,,7.0,7.24,18.57,21.3,4,36.6,2.4,215.9,47.232568339,2.583212567,2015-06-24,2015-06-07,2015-07-11,1394,1207,1268,1502,1555,1751,1996,1869,2158,505,12,2720,2026,0.1088697715811332
42,37582698,,,,7.4,7.72,29.1,27.5,283,31.0,3.1,260.8,47.141264033999995,2.5697194619999997,2015-06-22,2015-06-05,2015-07-09,1476,1423,1581,2179,2382,2704,3088,2964,3552,816,14,4152,2652,0.15263464903752674
43,37322694,,,,7.1,7.25,9.54,8.0,2,49.1,1.1,132.7,47.081509238,2.2340708780000003,2015-07-30,2015-07-13,2015-08-16,1599,1594,1635,2100,2221,2477,2752,2666,3016,639,16,3236,2103,0.11875786823331934
44,37862658,,,,4.7,5.35,4.7,7.4,0,8.1,1.0,31.7,46.807618278,2.9853852919999997,2015-06-24,2015-06-07,2015-07-11,1509,1629,1735,2087,2319,2821,3141,3089,3546,662,14,3840,2870,0.19358578052550232
45,37902696,,,,5.5,5.88,8.04,8.0,0,30.7,1.1,116.7,47.151383455,2.992175277,2015-06-25,2015-06-08,2015-07-12,1366,1321,1389,1916,2050,2403,2765,2749,3246,683,12,4014,2617,0.17856377277599142
46,37242640,,,,7.5,7.81,17.33,21.3,250,18.3,2.8,411.0,46.59082362,2.201285013,2015-07-23,2015-07-06,2015-08-09,1403,1399,1536,2044,2100,2313,2544,2522,2781,658,15,3264,2260,0.10468681559351731
47,37362642,,,,5.9,6.18,7.89,13.4,0,36.1,1.5,205.8,46.619944817,2.354481867,2015-07-24,2015-07-07,2015-08-10,1533,1502,1596,2088,2333,2688,3059,2983,3438,815,15,3819,2547,0.17649378820745415
48,37262656,,,,4.9,5.3,9.44,7.4,0,13.5,0.9,39.2,46.735876891000004,2.206155875,2015-07-27,2015-07-10,2015-08-13,1498,1432,1498,1885,2053,2479,2812,2733,3151,729,15,3825,2543,0.18362927674317886
49,37282676,,,,7.3,7.51,22.3,16.4,52,29.2,2.0,447.5,46.91670441,2.205704913,2015-07-29,2015-07-12,2015-08-15,1336,1216,1231,1433,1490,1690,1887,1781,1984,461,13,2199,1299,0.10827629122588675
50,37222680,,,,7.3,7.54,11.01,19.1,8,30.9,2.2,227.9,46.946787865,2.1219815509999997,2015-07-29,2015-07-12,2015-08-15,1537,1610,1816,2379,2396,2615,2898,2868,3206,636,14,3998,2687,0.0931961120640366
51,38802300,,,,7.5,7.89,29.9,18.8,281,39.9,2.0,182.5,43.664507448,4.540503224,2015-07-20,2015-07-03,2015-08-06,1607,1555,1614,1883,1957,2119,2332,2217,2517,569,14,2841,2224,0.08146341463414634
52,35402920,,,,4.3,4.54,26.0,18.4,0,26.0,2.5,112.8,48.8819766,-0.688120614,2015-07-13,2015-06-26,2015-07-30,5638,5812,5556,5981,6094,6462,6684,6597,6769,3812,206,5087,3691,0.04897439974558753
53,35762938,,,,7.1,7.4,25.6,16.7,47,49.6,2.3,320.5,49.087893726000004,-0.23462344100000002,2015-07-17,2015-06-30,2015-08-03,1602,1408,1247,1340,1406,1588,1678,1632,1884,580,16,2141,1293,0.09825033647375504
54,35582934,,,,6.7,6.89,23.5,18.6,1,28.5,2.3,47.7,49.029611798999994,-0.47132841200000003,2015-07-23,2015-07-06,2015-08-09,1653,1532,1544,1807,1998,2501,2850,2665,3128,874,150,3192,2379,0.19186046511627908
55,36002938,,,,4.3,4.81,22.5,27.3,2,10.9,2.2,84.8,49.117361961,0.09145637900010001,2015-07-28,2015-07-11,2015-08-14,5108,7711,7137,7436,7328,7473,7629,8391,7562,3015,191,5236,3684,0.060339925443861755
56,39122316,,,,7.4,7.88,18.46,15.9,644,26.5,1.9,121.4,43.828724918,4.922969698999999,2015-07-13,2015-06-26,2015-07-30,6156,5773,5661,5713,5799,6086,6410,6261,6662,3680,753,3878,3667,0.045765825956238515
57,39122320,,,,7.3,7.72,43.1,19.5,425,45.6,2.9,317.6,43.864717133,4.919798907,2015-07-14,2015-06-27,2015-07-31,7192,7308,6913,7175,7259,7497,7677,7801,7703,5301,1513,5448,4984,0.04180021367521367
