,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,NDVI,GNDVI,EVI,SAVI,BSI,ARVI
0,43443464,16.0,38.0,47.0,4.5,5.06,9.66,17.4,1,41.4,2.2,41.2,54.282044227,10.353046953,2015-06-10,2015-05-24,2015-06-27,4856,4720,4629,4644,4689,5673,6242,6112,6465,2221,54,4488,3666,-2736418511.0663967,-1350148367.9525225,143129770.9923665,1139240506.3291137,27032967032.96697,13451536643.026005,-2600000000.000003,11065830721.003149,-52786069651.74129,-5058356676.003734,18459616985.845142,-1396296925.4289112,2.789275941879021e+16,2.2155462002149696e+16,9504873428785762.0,6.555373804212115e+17,-3.7311621950387174e+17,-3.7946895137177325e+17,2.7331661442006333e+17,-2.0016269709324298e+18,5.936282708425069e+17,5.489723076995535e+16,-8.266408789039995e+16,1.0,0.9330753637883252,0.8679568637833106,0.8062076108212074,0.7918901136443764,0.9346555044663593,1.0,0.9582728557431919,1.0,0.3527204518183247,0.009999281156060521,0.91633083805705,0.13648196355522502,0.13806908109114607,-2.5790583274771612,0.19488848900397043,-0.08515327589661391,0.07673956262425448
1,44923314,10.0,61.0,29.0,4.7,4.97,41.9,13.0,0,25.5,1.7,166.3,52.907747801999996,12.542084985999999,2015-07-07,2015-06-20,2015-07-24,4849,4437,4384,4369,4442,5230,5672,5172,5776,2554,256,4049,3518,-8289738430.583496,-786350148.3679527,-143129770.9923665,1848101265.8227847,21648351648.351597,10449172576.832151,-10000000000.000011,18934169278.996887,-40074626865.67164,-5364145658.263304,15791007493.755215,-901987429.9303551,1.5097360728803904e+17,9543329041180808.0,1.900029615281634e+16,5.012721615830079e+17,-3.0766975471207194e+17,-4.83431975811635e+17,5.786833855799386e+17,-1.849805521776445e+18,4.3172240307721805e+17,4.938177673206935e+16,-6.9496231988699336e+16,1.0,0.8928880718180784,0.8541866822127664,0.8111815542640046,0.8103538899877062,0.9390195288935481,1.0,0.9017534925941506,1.0,0.45281383250285095,0.052062573749353275,0.8974426215361946,0.08416308563043706,0.08246128087065718,-1.061888389314996,0.12017949514475192,-0.06606756531868864,0.0474737014225759
2,44763232,7.0,75.0,18.0,5.5,5.77,13.42,9.7,0,38.0,1.0,47.4,52.176049852,12.266220008,2015-06-25,2015-06-08,2015-07-12,5726,5389,5254,5388,5370,5769,6036,5774,6170,3364,634,3122,2883,-6780684104.627763,-2002967359.0504456,1278625954.1984742,-455696202.53164554,10961538461.538435,6312056737.588653,-5240000000.000006,12413793103.448292,-34900497512.437805,-6372549019.6078415,10358034970.857626,-405979276.37166643,9.613112164139466e+16,4.868832808974659e+16,-1.6548875541317946e+16,2.8904391554607795e+17,-1.2773301439422448e+17,-2.7309826802810064e+17,3.530758620689663e+17,-1.4832066023788762e+18,3.548252300103229e+17,3.905365077139464e+16,-4.4812715433927144e+16,1.0,0.9326286966890457,0.8982417668963302,0.9041075104668361,0.8948467592595516,0.9552391843161283,0.9921381220143645,0.9409369038117585,1.0,0.5632537940395584,0.12886767446717867,0.7210902392860338,0.03458161619781401,0.04715270221254987,-0.4169367033916613,0.049380654459764486,-0.13485487724292178,0.0176398194995214
3,43022740,16.0,36.0,48.0,4.5,4.82,28.8,29.5,1,15.6,2.7,61.9,47.77331833,9.746654855,2015-06-13,2015-05-27,2015-06-30,9037,8678,8452,8589,8592,8605,8501,8787,8226,8091,4405,2428,2903,-7223340040.241445,-3353115727.0029683,1307251908.3969474,75949367.0886076,357142857.1428563,-2458628841.607565,5720000000.000007,-17586206896.551746,-1679104477.6119401,-8604108309.990662,-8230641132.389681,806862578.5629354,7.787171656415442e+16,6.914492040652696e+16,-1.1749070050652106e+16,7118822533018954.0,-7.735636535028611e+16,1.9334819956519082e+17,-4.661241379310356e+17,4.986552482426278e+17,-8.61318884624219e+16,871772123251588.9,3.762491136949468e+16,1.0,0.9636708747938709,0.9430977803662163,0.9656211360998647,0.9687153150461373,0.9727393884644677,0.9639367827660349,1.0,0.9509878284884795,0.9742860102012485,0.6814587328029909,0.44696929495820065,0.011395027624309393,0.01943268171007599,-0.10392609699769052,0.016271698648306774,-0.22638859630643915,0.008284501919579712
4,43683136,35.0,11.0,54.0,6.6,6.79,19.68,22.5,3,42.8,2.4,574.5,51.33294811,10.674383909,2015-08-05,2015-07-19,2015-08-22,5521,5716,5505,5963,6050,6337,6546,6241,6706,3363,70,5503,4649,3923541247.484907,-3130563798.2195854,4370229007.633591,2202531645.56962,7884615384.615366,4940898345.153665,-6100000000.000007,14576802507.837008,-41579601990.04975,-7686741363.211949,22618651124.063297,-1450653983.353151,-1.4193370313288709e+17,1.1128772708980976e+17,-2.0684135134198204e+16,1.4385022124166445e+17,-8.087134723795864e+16,-2.6101414527550048e+17,4.1353605015674074e+17,-1.7603888557331292e+18,4.215529928711169e+17,7.0740878821837624e+16,-1.002052668918254e+17,1.0,1.0,0.9316868356570935,0.9605085807357274,0.9571171299952811,0.9862879608611498,1.0,0.9393889995063567,1.0,0.5109103751866476,0.011817116036106244,0.9907724349021534,0.02277941658472632,0.06265962880980759,-0.8176470588235295,0.03252786611547874,-0.020962302010844043,0.0012979943893145752
5,45603130,12.0,48.0,40.0,6.0,6.27,26.2,33.3,1,81.8,3.3,359.4,51.23064488,13.423080224000001,2015-07-03,2015-06-16,2015-07-20,1497,1501,1568,1812,1795,2190,2422,2267,2616,613,10,2466,2084,80482897.38430579,994065281.8991101,2328244274.8091617,-430379746.835443,10851648351.648325,5484633569.739952,-3100000000.0000033,10940438871.473368,-24912935323.383083,-1407563025.2100837,10224812656.119907,-648887378.9706132,1.8381939326253596e+16,1.9794940547626884e+16,-2.6322748298135556e+16,2.856209645185764e+17,-1.4744546104143846e+17,-2.0294642008841504e+17,2.8080877742946774e+17,-1.1239302255440908e+18,2.923553768429478e+17,2.715307115156393e+16,-4.526935901369912e+16,1.0,0.9196326370171114,0.8636800037314931,0.8626431156661262,0.8129703284497101,0.9493041439102252,1.0,0.8923661142987324,1.0,0.23577843235126766,0.003977559976718795,1.0,0.11154694778131896,0.18226857887874837,0.6042496679946879,0.15927232935597835,0.0633855331841909,0.01948051948051948
6,44083410,21.0,38.0,41.0,6.4,6.55,16.68,14.5,0,56.6,1.8,204.7,53.790180555,11.319959008,2015-07-15,2015-06-28,2015-08-01,5880,5132,4897,5211,5266,5505,5778,5465,5978,3393,455,4249,3601,-15050301810.865183,-3486646884.272998,2996183206.106872,1392405063.2911391,6565934065.934051,6453900709.219858,-6260000000.000007,16081504702.194376,-32151741293.532337,-6858076563.958916,15795170691.090769,-1100730422.965857,2.3266911321111024e+17,9.61844227059328e+16,-1.5303226553585248e+16,1.3097541778842814e+17,-3077839470170113.0,-3.00565028586758e+17,4.468300940438881e+17,-1.5120139810572657e+18,3.145978200195699e+17,5.2878728419817176e+16,-7.034097049981947e+16,1.0,0.8710792957016941,0.8289892178217273,0.8785252499474453,0.8864268889242389,0.9253411331821099,0.9696289379310323,0.9153196286157372,1.0,0.5814775709287254,0.08967464930732202,0.9143377991137503,0.023791682278006744,0.05481567265006755,-0.3612059158134243,0.03397316031166978,-0.05668843795183726,0.008325800466244825
7,43443374,11.0,45.0,44.0,6.0,6.24,36.6,17.1,1,93.9,1.9,287.6,53.473310506000004,10.346344996000001,2015-07-13,2015-06-26,2015-07-30,7314,7630,7650,7759,7433,7419,7239,8159,7088,4116,128,4320,2359,6358148893.360157,296735905.0445105,1040076335.8778633,-8253164556.962025,-384615384.6153837,-4255319148.93617,18400000000.00002,-33573667711.598785,-36965174129.35323,-9309056956.115778,17452123230.641144,-3331068455.9198236,-1.2196001988562661e+17,1.1028789774975564e+16,-8.867596271793792e+16,1.992037765151048e+17,-1.0633801550331805e+17,5.355867411096025e+17,-1.0394733542319772e+18,-1.0631681560358784e+17,3.4398155688106285e+17,6.246774086544564e+16,-8.652452825379259e+16,1.0,1.0,0.9890438194807214,0.9824493560315045,0.9339120882292767,0.9255746634713053,0.8957720194777398,1.0,0.8833599173847612,0.535698215140558,0.021808628528304713,0.8903481690585763,0.02512878502324413,0.03219684989562907,-0.39824771007566706,0.03588294019987401,-0.13312760155016506,0.008656211071006484
8,43963394,12.0,58.0,30.0,6.5,6.73,35.1,14.3,1,37.6,1.5,247.8,53.648253302,11.134076312000001,2015-06-16,2015-05-30,2015-07-03,3673,3611,3496,3422,3511,4574,5164,4775,5357,1040,29,3429,2666,-1247484909.4567397,-1706231454.0059352,-706106870.2290081,2253164556.962025,29203296703.296635,13947990543.735224,-7780000000.000009,18244514106.583096,-53694029850.74626,-2359943977.591036,14154870940.882608,-1296076099.881094,-9230312767589442.0,1.483864367621554e+16,2.8237322778540412e+16,6.822818264894838e+17,-4.191018175703674e+17,-5.1366407904811424e+17,5.2049028213166266e+17,-2.2551267698222397e+18,6.384836551387466e+17,3.8549988138360504e+16,-6.43253415518889e+16,1.0,0.928066485804321,0.8350916298082981,0.7365775883423725,0.7285775937259733,0.9187401824620272,1.0,0.904043306511419,1.0,0.20018238190771476,0.006692102081635977,0.8905879796250457,0.1650603879468098,0.15463668238423406,-1.9061707523245985,0.23569392741235423,-0.10074161580363589,0.10124753775443204
9,43682884,26.0,11.0,63.0,6.8,6.91,55.9,52.6,6,27.7,5.9,136.2,49.067297368,10.643025562,2015-07-01,2015-06-14,2015-07-18,6958,6781,6661,6806,6727,7118,7369,7165,7421,4266,523,1432,1606,-3561368209.2555313,-1780415430.267063,1383587786.259543,-1999999999.9999998,10741758241.758215,5933806146.5721035,-4080000000.0000043,8025078369.905966,-39241293532.3383,-8737161531.279177,3784346378.0183206,295566502.4630542,3.5834059939405784e+16,4.694366790098822e+16,-3.2286142998659776e+16,3.2257615801919526e+17,-1.3208659602159614e+17,-2.367330058291278e+17,2.4210156739811965e+17,-1.4817044483462172e+18,3.7940462687884486e+17,2.9228543205643076e+16,-1.4524479082245082e+16,1.0,0.9662213153989003,0.938233552100668,0.941855823163962,0.9248141925431893,0.9726858392977595,1.0,0.968145639542989,1.0,0.603266624104369,0.10039853196136267,0.34381035647927294,0.02569608474697588,0.03645305945320411,-0.3143057257923306,0.03669288493631431,-0.2573025604038947,0.012119892590173452
