,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
0,43443464,16.0,38.0,47.0,4.5,5.06,9.66,17.4,1,41.4,2.2,41.2,54.282044227,10.353046953,2015-06-10,2015-05-24,2015-06-27,4856,4720,4629,4644,4689,5673,6242,6112,6465,2221,54,4488,3666,0.136481963555225
1,44923314,10.0,61.0,29.0,4.7,4.97,41.9,13.0,0,25.5,1.7,166.3,52.907747801999996,12.542084985999999,2015-07-07,2015-06-20,2015-07-24,4849,4437,4384,4369,4442,5230,5672,5172,5776,2554,256,4049,3518,0.08416308563043706
2,44763232,7.0,75.0,18.0,5.5,5.77,13.42,9.7,0,38.0,1.0,47.4,52.176049852,12.266220008,2015-06-25,2015-06-08,2015-07-12,5726,5389,5254,5388,5370,5769,6036,5774,6170,3364,634,3122,2883,0.03458161619781401
3,43022740,16.0,36.0,48.0,4.5,4.82,28.8,29.5,1,15.6,2.7,61.9,47.77331833,9.746654855,2015-06-13,2015-05-27,2015-06-30,9037,8678,8452,8589,8592,8605,8501,8787,8226,8091,4405,2428,2903,0.011395027624309393
4,43683136,35.0,11.0,54.0,6.6,6.79,19.68,22.5,3,42.8,2.4,574.5,51.33294811,10.674383909,2015-08-05,2015-07-19,2015-08-22,5521,5716,5505,5963,6050,6337,6546,6241,6706,3363,70,5503,4649,0.02277941658472632
5,45603130,12.0,48.0,40.0,6.0,6.27,26.2,33.3,1,81.8,3.3,359.4,51.23064488,13.423080224000001,2015-07-03,2015-06-16,2015-07-20,1497,1501,1568,1812,1795,2190,2422,2267,2616,613,10,2466,2084,0.11154694778131895
6,44083410,21.0,38.0,41.0,6.4,6.55,16.68,14.5,0,56.6,1.8,204.7,53.790180555,11.319959008,2015-07-15,2015-06-28,2015-08-01,5880,5132,4897,5211,5266,5505,5778,5465,5978,3393,455,4249,3601,0.023791682278006744
7,43443374,11.0,45.0,44.0,6.0,6.24,36.6,17.1,1,93.9,1.9,287.6,53.473310506000004,10.346344996000001,2015-07-13,2015-06-26,2015-07-30,7314,7630,7650,7759,7433,7419,7239,8159,7088,4116,128,4320,2359,0.025128785023244126
8,43963394,12.0,58.0,30.0,6.5,6.73,35.1,14.3,1,37.6,1.5,247.8,53.648253302,11.134076312000001,2015-06-16,2015-05-30,2015-07-03,3673,3611,3496,3422,3511,4574,5164,4775,5357,1040,29,3429,2666,0.1650603879468098
9,43682884,26.0,11.0,63.0,6.8,6.91,55.9,52.6,6,27.7,5.9,136.2,49.067297368,10.643025562,2015-07-01,2015-06-14,2015-07-18,6958,6781,6661,6806,6727,7118,7369,7165,7421,4266,523,1432,1606,0.025696084746975878
10,44062954,21.0,53.0,27.0,7.2,7.55,15.35,9.9,5,17.5,1.2,76.1,49.692548916999996,11.177940445,2015-06-19,2015-06-02,2015-07-06,8487,8389,8326,8545,8476,8655,8760,8657,8708,6928,3184,2314,2706,0.006510870828973375
11,41862756,6.0,64.0,29.0,4.4,4.78,24.0,62.6,1,38.9,3.4,61.6,47.902766527,8.19516185,2015-08-05,2015-07-19,2015-08-22,4848,5618,5084,4886,5147,5500,5655,6699,5722,3061,146,5541,4094,0.1564954682779456
12,43643304,2.0,79.0,18.0,3.3,3.83,4.71,45.3,0,8.6,1.7,27.6,52.843069357,10.63814977,2015-07-08,2015-06-21,2015-07-25,7267,7081,6950,7151,7060,7503,7793,7472,7924,3685,570,3323,2888,0.021951719893318743
13,42982824,34.0,6.0,60.0,5.4,5.67,16.09,41.9,0,26.0,4.6,129.9,48.528988408000004,9.688718227,2015-07-07,2015-06-20,2015-07-24,7892,7723,7586,7765,7738,7889,7991,7920,7998,6214,2699,1977,2341,0.00988205291679949
14,42463086,21.0,23.0,55.0,5.5,5.76,7.83,19.6,0,23.8,2.4,75.0,50.880545459,8.934307423,2015-08-10,2015-07-24,2015-08-27,7809,6609,6278,6938,7135,7823,8442,7575,9051,4876,64,4219,3404,0.04389168331840419
15,45283188,15.0,60.0,25.0,6.4,6.67,19.72,13.4,2,25.4,1.6,154.1,51.764022677,12.99930839,2015-08-07,2015-07-21,2015-08-24,1423,1172,1047,1157,1260,1563,1799,1715,2075,389,9,2274,1514,0.19428969359331477
16,44303198,,,,7.4,7.5,218.0,27.0,504,26.2,4.0,420.9,51.881516836,11.583087064,2015-07-12,2015-06-25,2015-07-29,5969,5787,5711,5811,5801,6503,6984,6641,7151,2898,79,1955,1995,0.06665595888210729
17,42683078,,,,6.0,6.22,11.54,11.2,0,86.9,1.5,186.9,50.811092376000005,9.248046883999999,2015-08-05,2015-07-19,2015-08-22,3226,3014,2834,2857,2935,3784,4344,3961,4651,998,20,3795,2914,0.16192431798181284
18,44243206,,,,8.0,8.43,28.3,25.8,493,23.6,1.3,264.5,51.954537491,11.498357958,2015-07-12,2015-06-25,2015-07-29,7200,7093,7107,7317,7260,7857,8266,7975,8366,3875,116,3413,2742,0.04302903478943238
19,44223208,,,,7.0,7.38,35.2,21.8,3,36.0,2.5,403.4,51.972873905,11.469858347999999,2015-07-11,2015-06-24,2015-07-28,6851,6643,6688,6861,6866,7623,8041,7692,8186,3750,123,3492,3171,0.05710162853019996
20,44543196,,,,6.8,7.08,19.01,6.6,3,83.8,0.7,172.9,51.858351559,11.930750327,2015-07-10,2015-06-23,2015-07-27,7000,6934,6913,7105,6988,7523,7851,7635,8021,3326,79,1849,1851,0.03595658073270014
21,44483198,,,,6.4,6.53,20.6,11.8,3,50.3,1.4,202.5,51.877715329,11.844418629000002,2015-07-10,2015-06-23,2015-07-27,6299,6101,5951,5976,5900,6249,6485,6300,6546,3487,873,1529,1672,0.026392961876832845
22,44403172,,,,7.5,7.92,20.5,13.4,42,13.5,1.5,174.7,51.645871423,11.71937784,2015-07-03,2015-06-16,2015-07-20,4383,4181,4140,4034,4099,4853,5285,5134,5474,2033,62,1604,1527,0.1199825479930192
23,44483176,,,,5.8,6.29,17.44,17.7,0,82.8,1.9,291.0,51.680059027,11.83637585,2015-07-01,2015-06-14,2015-07-18,3881,3668,3570,3504,3616,4496,5045,4793,5297,1654,44,1610,1491,0.1553573580812342
24,45023176,,,,3.6,4.05,4.94,15.6,0,13.0,0.9,18.0,51.665252613,12.616672312,2015-08-15,2015-07-29,2015-09-01,4551,4297,3955,4022,4230,4749,5038,4905,5180,3213,699,1714,1630,0.09891340875994176
25,42603070,,,,4.2,4.66,14.38,39.7,1,76.1,2.8,127.8,50.738387126000006,9.135884272,2015-08-07,2015-07-21,2015-08-24,3113,3272,2887,2691,2625,3029,3309,3233,3415,731,22,2039,1314,0.09149223497636733
26,42323054,,,,6.0,6.3,16.34,12.2,0,46.1,1.5,360.3,50.590922086000006,8.743161498,2015-08-18,2015-08-01,2015-09-04,2435,2425,2314,2445,2653,3429,3864,3536,4079,887,53,3302,2640,0.18241096806554088
27,42623044,,,,5.5,5.74,37.6,36.5,0,36.0,4.3,113.1,50.504875748,9.168362936,2015-08-22,2015-08-05,2015-09-08,4936,4863,4679,4745,5085,6229,6940,6336,7361,1871,47,5325,4145,0.1435790993592636
28,42543054,,,,5.1,5.34,33.5,27.0,0,38.3,3.4,85.8,50.593896235,9.053803998,2015-08-24,2015-08-07,2015-09-10,1733,1577,1652,1763,1859,2709,3008,2621,3144,507,45,2213,1508,0.1957116788321168
29,44583142,,,,6.2,6.47,13.05,20.3,0,53.5,1.9,387.6,51.37224238100001,11.967684353,2015-06-22,2015-06-05,2015-07-09,8262,8246,8175,8395,8199,8509,8783,8490,8882,3882,124,4220,3231,0.005626295528575659
30,42463054,,,,6.1,6.39,10.4,16.0,0,95.7,1.9,406.2,50.592911765,8.940838963,2015-08-21,2015-08-04,2015-09-07,1751,1376,1297,1429,1563,2121,2445,2134,2651,717,149,2164,1462,0.19786696603985404
31,44983194,,,,6.3,6.68,22.7,18.3,1,119.9,1.9,359.5,51.828191006000004,12.568045312,2015-06-11,2015-05-25,2015-06-28,8046,7801,7910,8195,8096,8469,8719,8373,8768,4663,282,5025,3872,0.010743602124577499
32,44763142,,,,6.6,6.82,17.34,15.7,0,67.7,1.8,265.8,51.367598852,12.226073725,2015-07-24,2015-07-07,2015-08-10,1643,1414,1253,1355,1493,2013,2377,1915,2692,464,13,2520,1586,0.1712538226299694
33,44203182,,,,7.4,7.74,27.1,11.4,60,16.6,1.5,257.0,51.739608395,11.433318539000002,2015-07-14,2015-06-27,2015-07-31,8642,8926,8610,9312,9439,9596,9825,9895,9939,5496,158,5935,4089,0.030353516946946425
34,44383200,,,,7.4,7.75,29.4,16.4,7,19.3,1.8,202.6,51.89786822399999,11.699917067000001,2015-07-13,2015-06-26,2015-07-30,5844,5750,5653,5719,5667,6286,6699,6465,6828,2758,76,1234,1289,0.061227839789888376
35,44283190,,,,7.5,7.97,20.8,17.5,52,26.2,1.7,236.9,51.810021633000005,11.551574736,2015-07-13,2015-06-26,2015-07-30,6626,6318,5995,6550,6813,7125,7457,6797,7592,4115,131,4641,3576,0.018506031317899154
36,44403196,,,,7.6,7.98,27.4,20.3,26,15.9,2.0,253.1,51.861507181,11.72758777,2015-07-14,2015-06-27,2015-07-31,5502,5386,5278,5317,5308,5958,6403,6120,6528,2425,60,1123,1179,0.0702107195942992
