,Longitude,Latitude,CEC [cmol/kg]
0,-3.05,43.1341,35.9
1,-3.0333,43.1174,23.4
2,-2.5,42.5021,12.1
3,-2.8333,43.0508,45.9
4,-2.595,43.0236,12.7
5,-2.4166,42.5341,14.9
6,-2.6333,42.9924,19.0
7,-2.5833,42.9508,11.8
8,-2.5833,42.8549,27.1
9,-2.6333,42.8424,33.5
10,-2.6333,42.5008,20.9
11,-2.4975,42.9286,24.5
12,-2.4166,42.9341,30.9
13,-2.7167,42.9341,25.8
14,-2.55,42.823,25.3
15,-2.4747,42.7347,19.0
16,-2.4508,42.6852,5.4
17,-2.303,42.7924,35.2
18,-2.2722,42.8102,25.8
19,-2.7833,42.5827,8.2
20,-2.6667,42.5846,31.5
21,-2.6166,42.4994,5.4
22,-2.5666,42.5452,13.0
23,-2.5,42.6016,10.3
24,-2.4878,42.6222,10.2
25,-2.45,39.2507,27.1
26,-2.4277,39.2498,9.8
27,-2.3486,39.2396,15.5
28,-2.45,39.0618,13.6
29,-2.0166,39.0173,13.9
30,-1.8333,38.9173,14.9
31,-1.8944,38.7256,12.5
32,-1.8999,38.734,15.9
33,-1.7333,38.8006,17.1
34,-2.6427,38.5734,22.3
35,-2.6655,38.6005,40.0
36,-2.6988,38.6908,8.1
37,-2.55,38.6506,19.5
38,-2.55,38.5673,65.4
39,-2.5,38.6173,44.4
40,-2.4166,38.434,46.3
41,-0.1498,38.8506,30.9
42,-0.8166,38.7173,12.8
43,-0.7832,38.734,39.3
44,-0.5332,38.684,21.3
45,-0.4832,38.7673,19.9
46,-0.0665,38.8006,29.0
47,0.0502,38.7006,17.8
48,-0.6332,38.534,19.0
49,-0.8166,38.184,25.3
50,-0.7999,38.2006,20.6
51,-0.7666,38.2006,21.5
52,-0.7499,38.2506,23.0
53,-0.6832,38.2673,15.0
54,-0.5987,38.1923,16.5
55,-0.5362,38.1273,16.9
56,-0.6332,38.184,15.9
57,-0.9499,38.1173,10.7
58,-0.9666,38.0173,7.0
59,-0.8832,38.0173,18.5
60,-0.6665,38.1006,11.9
61,-0.8166,37.884,21.9
62,-0.3665,38.5173,16.3
63,-0.6165,38.434,14.3
64,-0.4332,38.4173,11.2
65,-2.2333,37.8173,13.9
66,-2.2833,37.7006,38.6
67,-2.0666,37.734,16.4
68,-2.3,37.6006,16.4
69,-2.1333,37.5506,10.2
70,-2.5166,37.3506,25.1
71,-2.4166,37.4173,12.7
72,-2.35,37.4673,36.2
73,-2.2333,37.4339,6.1
