,Longitude,Latitude,C/N
0,-5.0113,41.4899,0.66
1,-2.7363,42.4142,14.95
2,-4.267,41.3465,2.13
3,-6.6181,38.5071,6.58
4,-1.7449,41.7826,13.41
5,-3.1805,41.3507,7.43
6,-5.0324,41.5823,7.36
7,-2.0805,40.1132,8.11
8,-4.1922,43.1491,14.94
9,-5.9305,42.8624,13.07
10,-5.0741,40.2521,23.51
11,-2.2579,41.0124,30.62
12,-4.5457,41.3026,1.07
13,-1.2815,42.9428,15.7
14,-5.0051,40.3028,23.03
15,-3.9262,41.1259,12.28
16,-3.2111,42.3142,12.05
17,-2.7113,41.9461,10.8
18,-2.7784,42.0553,12.17
19,-2.8216,42.0153,9.88
20,-2.479,42.0504,10.27
21,-2.4564,41.9906,11.61
22,-1.8392,41.8179,15.41
23,-1.8564,41.8224,13.82
24,-1.8278,43.3536,17.34
25,-1.8778,43.3292,22.87
26,-1.8097,43.3272,14.66
27,-1.8053,43.2903,11.61
28,-1.8458,43.2856,16.49
29,-1.9423,43.1386,15.91
30,-2.0039,43.1434,21.9
31,-1.9619,43.222,15.82
32,-2.0256,43.2764,17.09
33,-2.1122,43.2458,20.17
34,-2.1597,43.2397,13.74
35,-2.3111,43.2703,15.37
36,-2.2597,43.1883,16.93
37,-2.4067,43.2347,17.59
38,-2.2039,43.1758,16.94
39,-2.3242,43.1697,11.73
40,-2.5042,43.1625,18.79
41,-2.1068,43.1096,18.58
42,-2.1082,43.1153,14.5
43,-2.3794,43.1286,15.82
44,-2.3939,43.1022,11.33
45,-2.0811,43.0619,15.4
46,-2.2722,43.0625,11.25
47,-2.4047,43.0406,19.45
48,-2.4792,43.0708,15.87
49,-2.1817,42.9764,13.37
50,-2.2883,42.9828,18.34
51,-2.5264,43.0064,11.8
52,-2.5644,42.9995,15.8
53,-2.47,42.8764,21.95
54,-2.5128,42.8961,20.7
55,-2.6256,43.0492,17.2
56,-2.6044,43.0245,17.69
57,-2.5411,43.0389,17.93
58,-2.5894,43.0106,15.23
59,-2.5439,43.0536,10.89
60,-2.6017,43.0092,15.88
61,-2.9528,43.0397,14.28
62,-2.9469,43.017,16.21
63,-3.0381,43.1083,17.3
64,-3.0772,43.0925,11.09
65,-3.0628,43.1217,18.83
66,-3.0314,43.1408,16.66
67,-2.8353,43.1508,15.93
68,-2.7644,43.3989,21.33
69,-2.7586,43.38,18.11
70,-2.6347,43.3717,21.09
71,-2.6931,43.312,23.49
72,-2.4728,43.2531,9.54
73,-2.5847,43.2981,18.7
74,-2.5828,43.2839,18.11
75,-2.6144,43.2933,15.7
76,-2.5833,43.1956,21.03
77,-2.6272,43.2064,21.1
78,-2.6222,43.2047,20.2
79,-2.6506,43.1683,18.68
80,-2.6611,43.1597,20.11
81,-2.6494,43.1439,20.35
82,-2.65,43.1917,18.13
83,-2.6503,43.1358,21.86
84,-2.6569,43.0772,20.84
85,-2.7069,43.0753,13.34
86,-2.7714,43.1267,12.36
87,-2.7961,43.1053,12.02
88,-2.7872,43.1122,15.35
89,-2.8333,43.2597,17.11
90,-2.8347,43.2586,14.3
91,-2.8528,43.2228,21.42
92,-2.87,43.2397,18.6
93,-2.8397,43.1467,10.68
94,-2.8394,43.1439,15.43
95,-2.9711,43.0953,14.15
96,-2.9367,43.132,13.14
97,-3.0986,43.2975,15.08
98,-3.0917,43.1995,13.79
99,-3.0828,43.1772,20.62
100,-3.0597,43.1764,26.54
101,-3.2214,43.2014,12.34
102,-3.1314,43.19,15.38
103,-3.1714,43.2617,22.43
104,-3.1772,43.2603,18.4
105,-3.2097,43.2142,19.67
106,-3.2481,43.2758,31.33
107,-3.2439,43.2731,25.46
108,-3.2592,43.2753,21.84
109,-3.3228,43.2106,15.86
110,-3.3678,43.2417,17.7
111,-3.1994,43.3103,11.32
112,-3.1717,43.3108,19.91
113,-3.2361,43.3422,12.26
114,-3.2772,43.3881,16.06
115,-5.2927,36.5603,11.89
116,-5.2752,36.566,13.2
117,-4.9962,41.1533,6.59
118,-4.24,41.3081,25.85
119,-4.5422,39.6631,8.08
120,-2.7006,43.2814,7.93
121,-4.4882,41.2676,6.16
122,-3.2814,43.3736,15.56
123,-3.2861,43.2981,17.24
124,-3.3278,43.3078,15.58
125,-3.8971,43.1429,17.63
126,-3.889,43.2828,12.84
127,-3.9195,43.2854,17.39
128,-3.9191,43.2566,12.14
129,-4.113,43.3033,15.63
130,-4.0138,43.2471,15.81
131,-4.0744,43.2264,13.12
132,-4.101,43.3043,14.1
133,-4.2708,43.3475,16.45
134,-4.2928,43.3439,16.2
135,-4.2844,43.3425,14.63
136,-5.2561,43.4453,23.86
137,-5.2147,43.4314,18.93
138,-5.2117,43.4356,22.63
139,-5.3128,43.3342,22.75
140,-5.4683,43.3433,10.91
141,-5.5061,43.4861,15.94
142,-5.4819,43.4856,21.35
143,-5.4911,43.4272,11.38
144,-5.535,43.4631,16.04
145,-6.1028,43.5144,22.88
146,-6.2792,43.417,20.71
147,-6.2869,43.3675,13.08
148,-6.2875,43.4433,11.3
149,-6.3458,43.4458,28.98
150,-6.398,43.4447,24.19
151,-7.0744,43.5192,15.66
152,-7.1403,43.46,15.14
153,-7.564,43.4731,18.13
154,-7.5662,43.6281,19.57
155,-7.6636,43.7008,14.49
156,-7.4244,43.1342,23.4
157,-7.8958,43.1197,14.56
158,-7.9032,43.1349,18.77
159,-8.0139,43.1403,11.99
160,-7.995,43.2258,13.9
161,-8.068,43.2053,15.26
162,-8.0783,43.2045,15.7
163,-8.1086,43.1797,12.25
164,-8.08,43.2281,16.22
165,-8.1575,43.4689,20.37
166,-7.9478,43.63,15.67
167,-8.1842,43.5681,13.89
168,-8.3983,43.227,13.7
169,-8.9372,43.155,15.0
170,-8.9478,43.162,15.81
171,-9.0894,42.875,18.96
172,-9.0686,42.8439,15.29
173,-8.4556,42.7609,15.45
174,-8.7061,42.8245,15.51
175,-8.7047,42.8131,14.12
176,-8.7389,42.7175,15.17
177,-8.8878,42.7017,13.52
178,-8.7294,42.6156,12.46
179,-8.7575,42.5656,15.51
180,-8.6203,42.5759,14.88
181,-8.7041,42.4842,12.65
182,-8.3491,42.5536,16.67
183,-8.5842,42.212,24.68
184,-8.58,42.2086,16.11
185,-8.573,42.2522,23.92
186,-7.9611,42.0425,16.2
187,-8.0005,42.2945,15.75
188,-7.3394,41.957,16.13
189,-7.1347,42.1175,16.42
190,-3.2225,43.3058,12.38
191,-3.3589,43.3125,11.68
192,-3.4475,43.1522,13.94
193,-3.4497,43.1483,29.15
194,-3.5839,43.1578,14.83
195,-3.5925,43.1608,12.96
196,-3.6053,43.2031,13.06
197,-3.63,43.2045,11.47
198,-3.6756,43.2239,11.71
199,-3.6906,43.2286,14.2
200,-3.6683,43.2467,11.02
201,-3.6478,43.2981,12.21
202,-3.7706,43.2669,14.32
203,-3.7433,43.2147,11.85
204,-3.7517,43.1178,18.0
205,-3.7528,43.1142,15.49
206,-3.8167,43.1731,13.53
207,-3.8175,43.0803,14.49
208,-3.8544,43.0464,13.85
209,-3.8597,43.042,13.39
210,-3.8894,43.0492,14.64
211,-3.9114,43.035,15.86
212,-3.9786,43.0361,14.39
213,-3.9572,43.0753,17.26
214,-3.9619,43.0895,17.16
215,-3.9731,43.2042,15.41
216,-4.1406,43.2014,15.31
217,-4.1242,43.1197,18.53
218,-4.0458,43.0961,13.58
219,-4.0447,43.0925,15.67
220,-4.0842,43.0767,12.73
221,-4.0617,43.0731,10.63
222,-4.0369,43.045,11.15
223,-4.0661,43.0345,9.87
224,-4.1042,43.0225,11.55
225,-3.8489,42.9236,11.75
226,-3.8867,42.9189,13.19
227,-3.9511,42.8936,13.7
228,-3.9011,42.8045,14.21
229,-3.913,42.7978,11.63
230,-3.9592,42.8114,14.16
231,-3.9961,42.8492,14.87
232,-4.0542,42.8114,14.53
233,-4.0464,42.8792,12.59
234,-4.0372,42.9195,18.45
235,-4.0592,42.9514,21.01
236,-4.1014,42.9347,15.33
237,-4.1255,42.967,16.89
238,-4.1436,42.9489,14.36
239,-4.2136,42.9681,15.23
240,-4.2472,42.9675,9.76
241,-4.2444,42.9728,19.77
242,-4.2292,43.0681,10.35
243,-4.275,43.1047,10.67
244,-4.3719,43.0433,12.15
245,-4.3897,43.07,21.46
246,-4.3286,43.2303,18.64
247,-4.3369,43.1867,14.79
248,-4.4678,43.2422,15.7
249,-4.4658,43.1236,16.75
250,-4.4953,43.1033,15.6
251,-4.5164,43.1336,7.97
