,Longitude,Latitude,OM [%]
0,-5.0113,41.4899,0.34
1,-2.7363,42.4142,4.19
2,-4.267,41.3465,0.77
3,-6.6181,38.5071,1.81
4,-1.7449,41.7826,3.23
5,-3.1805,41.3507,1.15
6,-5.0324,41.5823,1.9
7,-2.0805,40.1132,2.79
8,-4.1922,43.1491,14.9
9,-5.9305,42.8624,4.72
10,-5.0741,40.2521,7.28
11,-2.2579,41.0124,15.8
12,-4.5457,41.3026,1.1
13,-1.2815,42.9428,6.48
14,-5.0051,40.3028,7.13
15,-3.9262,41.1259,6.97
16,-3.2111,42.3142,11.61
17,-2.7113,41.9461,3.53
18,-2.7784,42.0553,6.07
19,-2.8216,42.0153,2.72
20,-2.479,42.0504,5.3
21,-2.4564,41.9906,5.99
22,-1.8392,41.8179,4.24
23,-1.8564,41.8224,6.18
24,-2.55,42.8174,1.8
25,-2.65,42.6008,8.45
26,-2.6,42.7841,5.47
27,-1.8278,43.3536,3.28
28,-1.8778,43.3292,8.26
29,-1.8097,43.3272,3.53
30,-1.8053,43.2903,7.99
31,-1.8458,43.2856,6.24
32,-1.9423,43.1386,12.86
33,-2.0039,43.1434,14.69
34,-1.9619,43.222,6.26
35,-2.0256,43.2764,5.88
36,-2.1122,43.2458,4.51
37,-2.1597,43.2397,5.2
38,-2.3111,43.2703,6.08
39,-2.2597,43.1883,9.61
40,-2.4067,43.2347,6.96
41,-2.2039,43.1758,8.74
42,-2.3242,43.1697,6.86
43,-2.5042,43.1625,5.17
44,-2.1068,43.1096,6.39
45,-2.1082,43.1153,4.49
46,-2.3794,43.1286,8.98
47,-2.3939,43.1022,4.87
48,-2.0811,43.0619,6.62
49,-2.2722,43.0625,6.0
50,-2.4047,43.0406,7.36
51,-2.4792,43.0708,7.37
52,-2.1817,42.9764,8.28
53,-2.2883,42.9828,11.04
54,-2.5264,43.0064,4.87
55,-2.5644,42.9995,6.25
56,-2.47,42.8764,9.44
57,-2.5128,42.8961,3.56
58,-2.6256,43.0492,5.62
59,-2.6044,43.0245,8.52
60,-2.5411,43.0389,11.1
61,-2.5894,43.0106,13.36
62,-2.5439,43.0536,4.12
63,-2.6017,43.0092,3.55
64,-2.9528,43.0397,3.93
65,-2.9469,43.017,4.46
66,-3.0381,43.1083,7.44
67,-3.0772,43.0925,2.86
68,-3.0628,43.1217,10.04
69,-3.0314,43.1408,4.87
70,-2.8353,43.1508,6.3
71,-2.7644,43.3989,9.17
72,-2.7586,43.38,9.97
73,-2.6347,43.3717,10.88
74,-2.6931,43.312,20.2
75,-2.4728,43.2531,3.94
76,-2.5847,43.2981,16.4
77,-2.5828,43.2839,6.54
78,-2.6144,43.2933,7.29
79,-2.5833,43.1956,6.15
80,-2.6272,43.2064,3.63
81,-2.6222,43.2047,5.56
82,-2.6506,43.1683,5.14
83,-2.6611,43.1597,7.61
84,-2.6494,43.1439,4.9
85,-2.65,43.1917,10.6
86,-2.6503,43.1358,3.76
87,-2.6569,43.0772,7.17
88,-2.7069,43.0753,8.26
89,-2.7714,43.1267,3.19
90,-2.7961,43.1053,6.82
91,-2.7872,43.1122,7.13
92,-2.8333,43.2597,4.12
93,-2.8347,43.2586,4.92
94,-2.8528,43.2228,13.63
95,-2.87,43.2397,12.16
96,-2.8397,43.1467,6.43
97,-2.8394,43.1439,8.49
98,-2.9711,43.0953,5.11
99,-2.9367,43.132,2.26
100,-3.0986,43.2975,4.41
101,-3.0917,43.1995,4.27
102,-3.0828,43.1772,5.32
103,-3.0597,43.1764,7.76
104,-3.2214,43.2014,4.88
105,-3.1314,43.19,5.82
106,-3.1714,43.2617,11.19
107,-3.1772,43.2603,8.86
108,-3.2097,43.2142,8.46
109,-3.2481,43.2758,15.09
110,-3.2439,43.2731,22.33
111,-3.2592,43.2753,6.01
112,-3.3228,43.2106,9.82
113,-3.3678,43.2417,8.22
114,-3.1994,43.3103,4.48
115,-3.1717,43.3108,6.85
116,-3.2361,43.3422,4.85
117,-3.2772,43.3881,11.6
118,-5.2927,36.5603,6.34
119,-5.2752,36.566,4.54
120,-4.9962,41.1533,1.02
121,-4.24,41.3081,41.8
122,-4.5422,39.6631,1.39
123,-2.7006,43.2814,4.23
124,-4.4882,41.2676,0.53
125,-3.2814,43.3736,9.9
126,-3.2861,43.2981,13.94
127,-3.3278,43.3078,11.52
128,-3.8971,43.1429,7.58
129,-3.889,43.2828,2.87
130,-3.9195,43.2854,10.77
131,-3.9191,43.2566,5.01
132,-4.113,43.3033,8.6
133,-4.0138,43.2471,5.44
134,-4.0744,43.2264,7.67
135,-4.101,43.3043,10.67
136,-4.2708,43.3475,7.64
137,-4.2928,43.3439,8.36
138,-4.2844,43.3425,6.04
139,-5.2561,43.4453,25.03
140,-5.2147,43.4314,11.72
141,-5.2117,43.4356,4.67
142,-5.3128,43.3342,6.26
143,-5.4683,43.3433,6.94
144,-5.5061,43.4861,6.03
145,-5.4819,43.4856,10.65
146,-5.4911,43.4272,5.87
147,-5.535,43.4631,6.62
148,-6.1028,43.5144,25.58
149,-6.2792,43.417,26.71
150,-6.2869,43.3675,6.3
151,-6.2875,43.4433,4.08
152,-6.3458,43.4458,15.45
153,-6.398,43.4447,16.64
154,-7.0744,43.5192,8.62
155,-7.1403,43.46,5.47
156,-7.564,43.4731,15.9
157,-7.5662,43.6281,15.15
158,-7.6636,43.7008,10.72
159,-7.4244,43.1342,8.05
160,-7.8958,43.1197,5.01
161,-7.9032,43.1349,6.78
162,-8.0139,43.1403,8.04
163,-7.995,43.2258,10.04
164,-8.068,43.2053,13.39
165,-8.0783,43.2045,31.6
166,-8.1086,43.1797,17.91
167,-8.08,43.2281,18.97
168,-8.1575,43.4689,9.11
169,-7.9478,43.63,15.09
170,-8.1842,43.5681,8.6
171,-8.3983,43.227,8.72
172,-8.9372,43.155,9.29
173,-8.9478,43.162,9.79
174,-9.0894,42.875,8.48
175,-9.0686,42.8439,10.78
176,-8.4556,42.7609,14.08
177,-8.7061,42.8245,17.07
178,-8.7047,42.8131,23.32
179,-8.7389,42.7175,13.57
180,-8.8878,42.7017,11.16
181,-8.7294,42.6156,11.36
182,-8.7575,42.5656,5.07
183,-8.6203,42.5759,9.47
184,-8.7041,42.4842,18.06
185,-8.3491,42.5536,14.34
186,-8.5842,42.212,14.86
187,-8.58,42.2086,20.51
188,-8.573,42.2522,14.4
189,-7.9611,42.0425,12.26
190,-8.0005,42.2945,9.21
191,-7.3394,41.957,3.33
192,-7.1347,42.1175,10.45
193,-3.2225,43.3058,7.24
194,-3.3589,43.3125,4.22
195,-3.4475,43.1522,10.07
196,-3.4497,43.1483,28.08
197,-3.5839,43.1578,7.65
198,-3.5925,43.1608,3.79
199,-3.6053,43.2031,5.39
200,-3.63,43.2045,39.07
201,-3.6756,43.2239,4.43
202,-3.6906,43.2286,4.64
203,-3.6683,43.2467,3.79
204,-3.6478,43.2981,7.35
205,-3.7706,43.2669,6.65
206,-3.7433,43.2147,6.32
207,-3.7517,43.1178,7.74
208,-3.7528,43.1142,8.79
209,-3.8167,43.1731,15.36
210,-3.8175,43.0803,13.71
211,-3.8544,43.0464,11.91
212,-3.8597,43.042,6.68
213,-3.8894,43.0492,9.32
214,-3.9114,43.035,7.91
215,-3.9786,43.0361,8.66
216,-3.9572,43.0753,6.83
217,-3.9619,43.0895,22.73
218,-3.9731,43.2042,5.83
219,-4.1406,43.2014,11.06
220,-4.1242,43.1197,37.48
221,-4.0458,43.0961,12.38
222,-4.0447,43.0925,26.68
223,-4.0842,43.0767,8.1
224,-4.0617,43.0731,5.85
225,-4.0369,43.045,4.22
226,-4.0661,43.0345,5.43
227,-4.1042,43.0225,16.29
228,-3.8489,42.9236,2.83
229,-3.8867,42.9189,5.67
230,-3.9511,42.8936,4.95
231,-3.9011,42.8045,2.2
232,-3.913,42.7978,0.8
233,-3.9592,42.8114,6.09
234,-3.9961,42.8492,5.37
235,-4.0542,42.8114,1.25
236,-4.0464,42.8792,7.58
237,-4.0372,42.9195,6.03
238,-4.0592,42.9514,2.53
239,-4.1014,42.9347,5.8
240,-4.1255,42.967,6.1
241,-4.1436,42.9489,2.47
242,-4.2136,42.9681,4.19
243,-4.2472,42.9675,13.43
244,-4.2444,42.9728,8.84
245,-4.2292,43.0681,6.94
246,-4.275,43.1047,2.57
247,-4.3719,43.0433,3.97
248,-4.3897,43.07,12.18
249,-4.3286,43.2303,10.26
250,-4.3369,43.1867,6.36
251,-4.4678,43.2422,6.48
252,-4.4658,43.1236,7.49
253,-4.4953,43.1033,7.78
254,-4.5164,43.1336,1.37
255,-4.5422,43.1856,5.56
256,-4.6633,43.0561,6.7
257,-4.7561,43.0828,5.89
258,-4.7533,43.085,11.98
259,-4.7539,43.1022,11.75
260,-4.7864,43.167,6.45
261,-4.7594,43.182,12.4
262,-4.715,43.1508,4.93
263,-4.6589,43.2369,7.77
264,-4.6842,43.2258,14.83
265,-4.678,43.3536,25.96
266,-4.6889,43.3486,16.57
267,-4.7217,43.2961,9.75
268,-4.7258,43.2583,18.21
