,Longitude,Latitude,TOC [%]
0,-5.0113,41.4899,0.2
1,-2.7363,42.4142,2.44
2,-4.267,41.3465,0.45
3,-6.6181,38.5071,1.05
4,-1.7449,41.7826,1.88
5,-3.1805,41.3507,0.67
6,-5.0324,41.5823,1.1
7,-2.0805,40.1132,1.62
8,-4.1922,43.1491,8.66
9,-5.9305,42.8624,2.74
10,-5.0741,40.2521,4.23
11,-2.2579,41.0124,9.19
12,-4.5457,41.3026,0.64
13,-1.2815,42.9428,3.77
14,-5.0051,40.3028,4.15
15,-3.9262,41.1259,4.05
16,-3.2111,42.3142,6.75
17,-2.7113,41.9461,2.05
18,-2.7784,42.0553,3.53
19,-2.8216,42.0153,1.58
20,-2.479,42.0504,3.08
21,-2.4564,41.9906,3.48
22,-1.8392,41.8179,2.47
23,-1.8564,41.8224,3.59
24,-2.55,42.8174,1.05
25,-2.65,42.6008,4.91
26,-2.6,42.7841,3.18
27,-1.8278,43.3536,1.91
28,-1.8778,43.3292,4.8
29,-1.8097,43.3272,2.05
30,-1.8053,43.2903,4.65
31,-1.8458,43.2856,3.63
32,-1.9423,43.1386,7.48
33,-2.0039,43.1434,8.54
34,-1.9619,43.222,3.64
35,-2.0256,43.2764,3.42
36,-2.1122,43.2458,2.62
37,-2.1597,43.2397,3.02
38,-2.3111,43.2703,3.53
39,-2.2597,43.1883,5.59
40,-2.4067,43.2347,4.05
41,-2.2039,43.1758,5.08
42,-2.3242,43.1697,3.99
43,-2.5042,43.1625,3.01
44,-2.1068,43.1096,3.72
45,-2.1082,43.1153,2.61
46,-2.3794,43.1286,5.22
47,-2.3939,43.1022,2.83
48,-2.0811,43.0619,3.85
49,-2.2722,43.0625,3.49
50,-2.4047,43.0406,4.28
51,-2.4792,43.0708,4.28
52,-2.1817,42.9764,4.81
53,-2.2883,42.9828,6.42
54,-2.5264,43.0064,2.83
55,-2.5644,42.9995,3.63
56,-2.47,42.8764,5.49
57,-2.5128,42.8961,2.07
58,-2.6256,43.0492,3.27
59,-2.6044,43.0245,4.95
60,-2.5411,43.0389,6.45
61,-2.5894,43.0106,7.77
62,-2.5439,43.0536,2.4
63,-2.6017,43.0092,2.06
64,-2.9528,43.0397,2.28
65,-2.9469,43.017,2.59
66,-3.0381,43.1083,4.33
