,Longitude,Latitude,Ca [mg/kg]
0,-1.8278,43.3536,77.0
1,-1.8778,43.3292,232.0
2,-1.8097,43.3272,1416.0
3,-1.8053,43.2903,1432.0
4,-1.8458,43.2856,272.0
5,-1.9423,43.1386,2378.0
6,-2.0039,43.1434,841.0
7,-1.9619,43.222,224.0
8,-2.0256,43.2764,1770.0
9,-2.1122,43.2458,254.0
10,-2.1597,43.2397,449.0
11,-2.3111,43.2703,1725.0
12,-2.2597,43.1883,348.0
13,-2.4067,43.2347,687.0
14,-2.2039,43.1758,657.0
15,-2.3242,43.1697,2500.0
16,-2.5042,43.1625,853.0
17,-2.1068,43.1096,67.0
18,-2.1082,43.1153,974.0
19,-2.3794,43.1286,938.0
20,-2.3939,43.1022,2500.0
21,-2.0811,43.0619,1486.0
22,-2.2722,43.0625,2500.0
23,-2.4047,43.0406,797.0
24,-2.4792,43.0708,1573.0
25,-2.1817,42.9764,2500.0
26,-2.2883,42.9828,2500.0
27,-2.5264,43.0064,476.0
28,-2.5644,42.9995,666.0
29,-2.47,42.8764,2500.0
30,-2.5128,42.8961,688.0
31,-2.6256,43.0492,1852.0
32,-2.6044,43.0245,1346.0
33,-2.5411,43.0389,2500.0
34,-2.5894,43.0106,1290.0
35,-2.5439,43.0536,1913.0
36,-2.6017,43.0092,2006.0
37,-2.9528,43.0397,1095.0
38,-2.9469,43.017,2500.0
39,-3.0381,43.1083,1524.0
40,-3.0772,43.0925,2112.0
41,-3.0628,43.1217,1267.0
42,-3.0314,43.1408,2500.0
43,-2.8353,43.1508,1702.0
44,-2.7644,43.3989,541.0
45,-2.7586,43.38,695.0
46,-2.6347,43.3717,2500.0
47,-2.6931,43.312,2500.0
48,-2.4728,43.2531,1635.0
49,-2.5847,43.2981,2500.0
50,-2.5828,43.2839,482.0
51,-2.6144,43.2933,2500.0
52,-2.5833,43.1956,903.0
53,-2.6272,43.2064,1261.0
54,-2.6222,43.2047,2500.0
55,-2.6506,43.1683,1066.0
56,-2.6611,43.1597,1315.0
57,-2.6494,43.1439,1478.0
58,-2.65,43.1917,480.0
59,-2.6503,43.1358,626.0
60,-2.6569,43.0772,2006.0
61,-2.7069,43.0753,1429.0
62,-2.7714,43.1267,2500.0
63,-2.7961,43.1053,718.0
64,-2.7872,43.1122,1094.0
65,-2.8333,43.2597,655.0
66,-2.8347,43.2586,1406.0
67,-2.8528,43.2228,313.0
68,-2.87,43.2397,355.0
69,-2.8397,43.1467,2500.0
70,-2.8394,43.1439,247.0
71,-2.9711,43.0953,890.0
72,-2.9367,43.132,172.0
73,-3.0986,43.2975,215.0
74,-3.0917,43.1995,1403.0
75,-3.0828,43.1772,2039.0
76,-3.0597,43.1764,454.0
77,-3.2214,43.2014,995.0
78,-3.1314,43.19,208.0
79,-3.1714,43.2617,2360.0
80,-3.1772,43.2603,2500.0
81,-3.2097,43.2142,134.0
82,-3.2481,43.2758,841.0
83,-3.2439,43.2731,1199.0
84,-3.2592,43.2753,2204.0
85,-3.3228,43.2106,906.0
86,-3.3678,43.2417,2500.0
87,-3.1994,43.3103,1050.0
88,-3.1717,43.3108,315.0
89,-3.2361,43.3422,354.0
90,-3.2772,43.3881,63.0
91,-3.2814,43.3736,116.0
92,-3.2861,43.2981,2500.0
93,-3.3278,43.3078,2221.0
94,-3.8971,43.1429,86.0
95,-3.889,43.2828,118.0
96,-3.9195,43.2854,75.0
97,-3.9191,43.2566,1065.0
98,-4.113,43.3033,170.0
99,-4.0138,43.2471,347.0
100,-4.0744,43.2264,2500.0
101,-4.101,43.3043,147.0
102,-4.2708,43.3475,140.0
103,-4.2928,43.3439,552.0
104,-4.2844,43.3425,131.0
105,-5.2561,43.4453,285.0
106,-5.2147,43.4314,316.0
107,-5.2117,43.4356,136.0
108,-5.3128,43.3342,10.0
109,-5.4683,43.3433,259.0
110,-5.5061,43.4861,23.0
111,-5.4819,43.4856,287.0
112,-5.4911,43.4272,2500.0
113,-5.535,43.4631,184.0
114,-6.1028,43.5144,650.0
115,-6.2792,43.417,1668.0
116,-6.2869,43.3675,91.0
117,-6.2875,43.4433,54.0
118,-6.3458,43.4458,70.0
119,-6.398,43.4447,423.0
120,-7.0744,43.5192,77.0
121,-7.1403,43.46,2132.0
122,-7.564,43.4731,94.0
123,-7.5662,43.6281,88.0
124,-7.6636,43.7008,9.0
125,-7.4244,43.1342,2.0
126,-7.8958,43.1197,4.0
127,-7.9032,43.1349,120.0
128,-8.0139,43.1403,2398.0
129,-7.995,43.2258,77.0
130,-8.068,43.2053,122.0
131,-8.0783,43.2045,30.0
132,-8.1086,43.1797,13.0
133,-8.08,43.2281,223.0
134,-8.1575,43.4689,28.0
135,-7.9478,43.63,2500.0
136,-8.1842,43.5681,928.0
137,-8.3983,43.227,145.0
138,-8.9372,43.155,1024.0
139,-8.9478,43.162,47.0
140,-9.0894,42.875,85.0
141,-9.0686,42.8439,48.0
142,-8.4556,42.7609,229.0
143,-8.7061,42.8245,168.0
144,-8.7047,42.8131,107.0
145,-8.7389,42.7175,45.0
146,-8.8878,42.7017,90.0
147,-8.7294,42.6156,23.0
148,-8.7575,42.5656,291.0
149,-8.6203,42.5759,513.0
150,-8.7041,42.4842,43.0
151,-8.3491,42.5536,14.0
152,-8.5842,42.212,21.0
153,-8.58,42.2086,86.0
154,-8.573,42.2522,30.0
155,-7.9611,42.0425,63.0
156,-8.0005,42.2945,995.0
157,-7.3394,41.957,341.0
158,-7.1347,42.1175,1072.0
159,-3.2225,43.3058,49.0
160,-3.3589,43.3125,530.0
161,-3.4475,43.1522,621.0
162,-3.4497,43.1483,248.0
163,-3.5839,43.1578,82.0
164,-3.5925,43.1608,1134.0
165,-3.6053,43.2031,365.0
166,-3.63,43.2045,2500.0
167,-3.6756,43.2239,131.0
168,-3.6906,43.2286,801.0
169,-3.6683,43.2467,1252.0
170,-3.6478,43.2981,1490.0
171,-3.7706,43.2669,77.0
172,-3.7433,43.2147,98.0
173,-3.7517,43.1178,63.0
174,-3.7528,43.1142,298.0
175,-3.8167,43.1731,81.0
176,-3.8175,43.0803,198.0
177,-3.8544,43.0464,198.0
178,-3.8597,43.042,90.0
179,-3.8894,43.0492,176.0
180,-3.9114,43.035,2500.0
181,-3.9786,43.0361,214.0
182,-3.9572,43.0753,559.0
183,-3.9619,43.0895,472.0
184,-3.9731,43.2042,92.0
185,-4.1406,43.2014,40.0
186,-4.0458,43.0961,619.0
187,-4.0447,43.0925,393.0
188,-4.0842,43.0767,2500.0
189,-4.0617,43.0731,149.0
190,-4.0369,43.045,1315.0
191,-4.0661,43.0345,1762.0
192,-4.1042,43.0225,2500.0
193,-3.8489,42.9236,202.0
194,-3.8867,42.9189,280.0
195,-3.9511,42.8936,106.0
196,-3.9011,42.8045,2500.0
197,-3.913,42.7978,101.0
198,-3.9592,42.8114,1241.0
199,-3.9961,42.8492,779.0
200,-4.0542,42.8114,238.0
201,-4.0464,42.8792,2500.0
202,-4.0372,42.9195,482.0
203,-4.0592,42.9514,88.0
204,-4.1014,42.9347,459.0
205,-4.1255,42.967,285.0
206,-4.1436,42.9489,2500.0
207,-4.2136,42.9681,2500.0
208,-4.2472,42.9675,428.0
209,-4.2444,42.9728,353.0
210,-4.2292,43.0681,404.0
211,-4.275,43.1047,1007.0
212,-4.3719,43.0433,67.0
213,-4.3897,43.07,274.0
214,-4.3286,43.2303,72.0
215,-4.3369,43.1867,14.0
216,-4.4678,43.2422,115.0
217,-4.4658,43.1236,122.0
218,-4.4953,43.1033,2500.0
219,-4.5164,43.1336,232.0
220,-4.5422,43.1856,2500.0
221,-4.6633,43.0561,440.0
222,-4.7561,43.0828,371.0
223,-4.7533,43.085,1014.0
224,-4.7539,43.1022,2500.0
225,-4.7864,43.167,2500.0
226,-4.7594,43.182,2500.0
227,-4.715,43.1508,1127.0
228,-4.6589,43.2369,2500.0
229,-4.6842,43.2258,2500.0
230,-4.678,43.3536,2500.0
231,-4.6889,43.3486,542.0
232,-4.7217,43.2961,2500.0
233,-4.7258,43.2583,2500.0
234,-4.755,43.2367,2500.0
235,-4.7594,43.1947,2500.0
236,-4.9975,43.4031,315.0
237,-4.9994,43.2889,638.0
238,-4.9872,43.2792,743.0
239,-4.993,43.2608,2500.0
240,-4.9986,43.262,2500.0
241,-5.013,43.2606,2500.0
242,-5.0205,43.2642,799.0
243,-5.0172,43.2861,1056.0
244,-5.195,43.4369,596.0
245,-5.2253,43.277,330.0
246,-5.2114,43.2025,1149.0
247,-5.1564,43.1942,104.0
