,Longitude,Latitude,Carb [%]
0,-2.5,42.5021,44.6
1,-2.4166,42.5341,48.5
2,-2.5833,42.8549,16.1
3,-2.6333,42.8424,0.4
4,-2.6333,42.5008,37.4
5,-2.7167,42.9341,20.6
6,-2.55,42.823,17.4
7,-2.4747,42.7347,12.1
8,-2.7833,42.5827,32.9
9,-2.6667,42.5846,41.7
10,-2.6833,42.5508,40.5
11,-2.5,42.6016,46.7
12,-2.7028,39.3118,1.1
13,-2.45,39.2507,16.3
14,-2.5166,39.2007,27.3
15,-2.4277,39.2498,13.5
16,-2.3486,39.2396,2.7
17,-2.375,39.1721,21.9
18,-2.7814,39.1479,42.5
19,-2.6667,39.134,50.8
20,-2.7333,39.0868,82.3
21,-2.5,39.084,46.9
22,-2.45,39.0618,28.9
23,-2.4166,39.0007,9.9
24,-2.0166,39.0173,41.3
25,-2.7333,38.984,59.2
26,-2.6,38.9173,66.5
27,-1.8333,38.9173,25.8
28,-1.8944,38.7256,41.2
29,-1.8999,38.734,27.8
30,-1.7333,38.8006,39.9
31,-2.55,38.6506,3.0
32,-2.55,38.5673,22.6
33,-2.5,38.6173,39.0
34,-0.1498,38.8506,28.7
35,-0.8166,38.7173,41.4
36,-0.7832,38.734,8.4
37,-0.5332,38.684,61.2
38,-0.4832,38.7673,9.2
39,-0.3832,38.734,18.2
40,-0.0665,38.8006,3.2
41,0.0502,38.7006,11.9
42,-0.9166,38.5673,52.9
43,-0.6499,38.5173,8.6
44,-0.6332,38.534,55.1
45,-0.2999,38.534,58.5
46,-0.2332,38.5173,68.6
47,-0.9332,38.4006,55.4
48,-0.6999,38.4673,41.9
49,-0.6665,38.484,57.6
50,-0.6499,38.4673,70.5
51,-0.8166,38.184,46.2
52,-0.7999,38.2006,36.8
53,-0.7666,38.2006,41.5
54,-0.7499,38.2506,53.8
55,-0.6832,38.2673,66.8
56,-0.5987,38.1923,40.4
57,-0.5362,38.1273,48.5
58,-0.6332,38.184,55.2
59,-0.9499,38.1173,48.8
60,-0.9666,38.0173,70.2
61,-0.8832,38.0173,35.3
62,-0.6665,38.1006,49.0
63,-0.8166,37.884,41.0
64,-0.3665,38.5173,57.3
65,-0.6165,38.434,48.6
66,-0.4332,38.4173,56.0
67,-2.1189,37.8506,60.0
68,-2.15,37.884,46.0
69,-2.2333,37.8173,59.0
70,-2.2833,37.7006,53.7
71,-2.1166,37.8173,72.2
72,-2.15,37.7673,13.7
73,-2.0666,37.734,62.7
74,-2.3,37.6006,20.3
75,-2.1333,37.5506,18.4
76,-2.5166,37.3506,23.6
77,-2.4166,37.4173,60.8
78,-2.35,37.4673,14.8
79,-2.2333,37.4339,21.9
80,-2.1387,37.3839,3.8
