,Longitude,Latitude,Cond electr [mS/m]
0,-5.0113,41.4899,3.0
1,-2.7363,42.4142,60.0
2,-4.267,41.3465,3.0
3,-6.6181,38.5071,4.0
4,-1.7449,41.7826,5.0
5,-3.1805,41.3507,4.0
6,-5.0324,41.5823,22.0
7,-2.0805,40.1132,27.0
8,-4.1922,43.1491,11.0
9,-5.9305,42.8624,5.0
10,-5.0741,40.2521,4.0
11,-2.2579,41.0124,15.0
12,-4.5457,41.3026,3.0
13,-1.2815,42.9428,7.0
14,-5.0051,40.3028,5.0
15,-3.9262,41.1259,14.0
16,-3.2111,42.3142,8.0
17,-2.7113,41.9461,7.0
18,-2.7784,42.0553,8.0
19,-2.8216,42.0153,5.0
20,-2.479,42.0504,9.0
21,-2.4564,41.9906,12.0
22,-1.8392,41.8179,7.0
23,-1.8564,41.8224,11.0
24,-2.55,42.8174,4.0
25,-2.65,42.6008,18.0
26,-2.6,42.7841,13.0
27,-5.2927,36.5603,11.0
28,-5.2752,36.566,6.0
29,-4.9962,41.1533,5.0
30,-4.24,41.3081,21.0
31,-4.5422,39.6631,5.0
32,-2.7006,43.2814,14.0
33,-4.4882,41.2676,2.0
34,-7.8403,43.4481,12.0
35,-7.9697,43.4341,9.0
36,-7.9531,43.4174,14.0
37,-8.4198,42.9841,6.0
38,-8.3948,43.3174,6.0
39,-8.3323,43.3841,15.0
40,-8.3387,43.3974,9.0
41,-8.442,42.9508,5.0
42,-8.9698,43.0341,3.0
43,-8.342,43.3008,4.0
44,-2.2333,43.1008,8.0
45,-2.4694,43.2036,3.0
46,-1.9277,43.3174,13.0
47,-2.3286,42.937,12.0
48,-7.0502,43.0897,5.0
49,-7.3252,42.4507,43.0
50,-7.5503,43.2508,12.0
51,-7.2503,42.9758,6.0
52,-6.9002,42.8008,12.0
53,-7.4875,42.6781,6.0
54,-7.3503,42.9258,4.0
55,-7.1363,42.8841,17.0
56,-7.303,42.6674,12.0
57,2.017,41.3341,12.0
58,2.9337,41.9507,41.0
