,Longitude,Latitude,Mg [mg/kg]
0,-1.8278,43.3536,136.0
1,-1.8778,43.3292,114.0
2,-1.8097,43.3272,250.0
3,-1.8053,43.2903,250.0
4,-1.8458,43.2856,162.0
5,-1.9423,43.1386,250.0
6,-2.0039,43.1434,200.0
7,-1.9619,43.222,94.0
8,-2.0256,43.2764,250.0
9,-2.1122,43.2458,79.0
10,-2.1597,43.2397,250.0
11,-2.3111,43.2703,250.0
12,-2.2597,43.1883,250.0
13,-2.4067,43.2347,168.0
14,-2.2039,43.1758,250.0
15,-2.3242,43.1697,250.0
16,-2.5042,43.1625,250.0
17,-2.1068,43.1096,250.0
18,-2.1082,43.1153,250.0
19,-2.3794,43.1286,250.0
20,-2.3939,43.1022,250.0
21,-2.0811,43.0619,250.0
22,-2.2722,43.0625,250.0
23,-2.4047,43.0406,250.0
24,-2.4792,43.0708,186.0
25,-2.1817,42.9764,250.0
26,-2.2883,42.9828,191.0
27,-2.5264,43.0064,231.0
28,-2.5644,42.9995,225.0
29,-2.47,42.8764,250.0
30,-2.5128,42.8961,250.0
31,-2.6256,43.0492,59.0
32,-2.6044,43.0245,250.0
33,-2.5411,43.0389,250.0
34,-2.5894,43.0106,250.0
35,-2.5439,43.0536,250.0
36,-2.6017,43.0092,250.0
37,-2.9528,43.0397,65.0
38,-2.9469,43.017,250.0
39,-3.0381,43.1083,168.0
40,-3.0772,43.0925,250.0
41,-3.0628,43.1217,203.0
42,-3.0314,43.1408,341.0
43,-2.8353,43.1508,250.0
44,-2.7644,43.3989,178.0
45,-2.7586,43.38,161.0
46,-2.6347,43.3717,250.0
47,-2.6931,43.312,250.0
48,-2.4728,43.2531,195.0
49,-2.5847,43.2981,178.0
50,-2.5828,43.2839,142.0
51,-2.6144,43.2933,250.0
52,-2.5833,43.1956,49.0
53,-2.6272,43.2064,58.0
54,-2.6222,43.2047,235.0
55,-2.6506,43.1683,69.0
56,-2.6611,43.1597,55.0
57,-2.6494,43.1439,242.0
58,-2.65,43.1917,62.0
59,-2.6503,43.1358,184.0
60,-2.6569,43.0772,184.0
61,-2.7069,43.0753,159.0
62,-2.7714,43.1267,143.0
63,-2.7961,43.1053,248.0
64,-2.7872,43.1122,238.0
65,-2.8333,43.2597,66.0
66,-2.8347,43.2586,131.0
67,-2.8528,43.2228,72.0
68,-2.87,43.2397,156.0
69,-2.8397,43.1467,239.0
70,-2.8394,43.1439,101.0
