,Longitude,Latitude,TN [mg/kg]
0,-5.0113,41.4899,3000.0
1,-2.7363,42.4142,1630.0
2,-4.267,41.3465,2100.0
3,-6.6181,38.5071,1600.0
4,-1.7449,41.7826,1400.0
5,-3.1805,41.3507,900.0
6,-5.0324,41.5823,1500.0
7,-2.0805,40.1132,2000.0
8,-4.1922,43.1491,5800.0
9,-5.9305,42.8624,2100.0
10,-5.0741,40.2521,1800.0
11,-2.2579,41.0124,3000.0
12,-4.5457,41.3026,6000.0
13,-1.2815,42.9428,2400.0
14,-5.0051,40.3028,1800.0
15,-3.9262,41.1259,3300.0
16,-3.2111,42.3142,5600.0
17,-2.7113,41.9461,1900.0
18,-2.7784,42.0553,2900.0
19,-2.8216,42.0153,1600.0
20,-2.479,42.0504,3000.0
21,-2.4564,41.9906,3000.0
22,-1.8392,41.8179,1600.0
23,-1.8564,41.8224,2600.0
24,-1.8278,43.3536,1100.0
25,-1.8778,43.3292,2100.0
26,-1.8097,43.3272,1400.0
27,-1.8053,43.2903,4000.0
28,-1.8458,43.2856,2200.0
29,-1.9423,43.1386,4700.0
30,-2.0039,43.1434,3900.0
31,-1.9619,43.222,2300.0
32,-2.0256,43.2764,2000.0
33,-2.1122,43.2458,1300.0
34,-2.1597,43.2397,2200.0
35,-2.3111,43.2703,2300.0
36,-2.2597,43.1883,3300.0
37,-2.4067,43.2347,2300.0
38,-2.2039,43.1758,3000.0
39,-2.3242,43.1697,3400.0
40,-2.5042,43.1625,1600.0
41,-2.1068,43.1096,2000.0
42,-2.1082,43.1153,1800.0
43,-2.3794,43.1286,3300.0
44,-2.3939,43.1022,2500.0
45,-2.0811,43.0619,2500.0
46,-2.2722,43.0625,3100.0
47,-2.4047,43.0406,2200.0
48,-2.4792,43.0708,2700.0
49,-2.1817,42.9764,3600.0
50,-2.2883,42.9828,3500.0
51,-2.5264,43.0064,2400.0
52,-2.5644,42.9995,2300.0
53,-2.47,42.8764,2500.0
54,-2.5128,42.8961,1000.0
55,-2.6256,43.0492,1900.0
56,-2.6044,43.0245,2800.0
57,-2.5411,43.0389,3600.0
58,-2.5894,43.0106,5100.0
59,-2.5439,43.0536,2200.0
60,-2.6017,43.0092,1300.0
61,-2.9528,43.0397,1600.0
62,-2.9469,43.017,1600.0
63,-3.0381,43.1083,2500.0
64,-3.0772,43.0925,1500.0
65,-3.0628,43.1217,3100.0
66,-3.0314,43.1408,1700.0
67,-2.8353,43.1508,2300.0
68,-2.7644,43.3989,2500.0
69,-2.7586,43.38,3200.0
70,-2.6347,43.3717,3000.0
71,-2.6931,43.312,5000.0
72,-2.4728,43.2531,2400.0
73,-2.5847,43.2981,5100.0
74,-2.5828,43.2839,2100.0
75,-2.6144,43.2933,2700.0
76,-2.5833,43.1956,1700.0
77,-2.6272,43.2064,1000.0
78,-2.6222,43.2047,1600.0
79,-2.6506,43.1683,1600.0
80,-2.6611,43.1597,2200.0
81,-2.6494,43.1439,1400.0
82,-2.65,43.1917,3400.0
83,-2.6503,43.1358,1000.0
84,-2.6569,43.0772,2000.0
85,-2.7069,43.0753,3600.0
86,-2.7714,43.1267,1500.0
87,-2.7961,43.1053,3300.0
88,-2.7872,43.1122,2700.0
89,-2.8333,43.2597,1400.0
90,-2.8347,43.2586,2000.0
91,-2.8528,43.2228,3700.0
92,-2.87,43.2397,3800.0
93,-2.8397,43.1467,3500.0
94,-2.8394,43.1439,3200.0
95,-2.9711,43.0953,2100.0
96,-2.9367,43.132,1000.0
97,-3.0986,43.2975,1700.0
98,-3.0917,43.1995,1800.0
99,-3.0828,43.1772,1500.0
100,-3.0597,43.1764,1700.0
101,-3.2214,43.2014,2300.0
102,-3.1314,43.19,2200.0
103,-3.1714,43.2617,2900.0
104,-3.1772,43.2603,2800.0
105,-3.2097,43.2142,2500.0
106,-3.2481,43.2758,2800.0
107,-3.2439,43.2731,5100.0
108,-3.2592,43.2753,1600.0
109,-3.3228,43.2106,3600.0
110,-3.3678,43.2417,2700.0
111,-3.1994,43.3103,2300.0
112,-3.1717,43.3108,2000.0
113,-3.2361,43.3422,2300.0
114,-3.2772,43.3881,4200.0
115,-5.2927,36.5603,3100.0
116,-5.2752,36.566,2000.0
117,-4.9962,41.1533,900.0
118,-4.24,41.3081,9400.0
119,-4.5422,39.6631,1000.0
120,-2.7006,43.2814,3100.0
121,-4.4882,41.2676,500.0
122,-3.2814,43.3736,3700.0
123,-3.2861,43.2981,4700.0
124,-3.3278,43.3078,4300.0
125,-3.8971,43.1429,2500.0
126,-3.889,43.2828,1300.0
127,-3.9195,43.2854,3600.0
