,Longitude,Latitude,pH
0,-5.0113,41.4899,5.91
1,-2.7363,42.4142,7.58
2,-4.267,41.3465,5.63
3,-6.6181,38.5071,5.65
4,-1.7449,41.7826,4.38
5,-3.1805,41.3507,4.68
6,-5.0324,41.5823,7.43
7,-2.0805,40.1132,7.53
8,-5.9305,42.8624,4.21
9,-5.0741,40.2521,5.0
10,-2.2579,41.0124,4.25
11,-4.5457,41.3026,5.75
12,-1.2815,42.9428,4.59
13,-5.0051,40.3028,5.18
14,-3.9262,41.1259,6.5
15,-3.2111,42.3142,4.4
16,-2.7113,41.9461,4.6
17,-2.7784,42.0553,4.5
18,-2.8216,42.0153,4.7
19,-2.479,42.0504,4.8
20,-2.4564,41.9906,5.7
21,-1.8564,41.8224,4.7
22,-2.55,42.8174,6.0
23,-2.65,42.6008,7.7
24,-2.6,42.7841,7.3
25,-1.8278,43.3536,5.2
26,-1.8778,43.3292,4.2
27,-1.8097,43.3272,5.2
28,-1.8053,43.2903,5.3
29,-1.8458,43.2856,4.9
30,-1.9423,43.1386,5.1
31,-2.0039,43.1434,5.0
32,-1.9619,43.222,4.8
33,-2.0256,43.2764,5.2
34,-2.1122,43.2458,4.8
35,-2.1597,43.2397,4.9
36,-2.3111,43.2703,5.8
37,-2.2597,43.1883,5.1
38,-2.4067,43.2347,5.0
39,-2.2039,43.1758,5.1
40,-2.3242,43.1697,6.2
41,-2.5042,43.1625,5.2
42,-2.1068,43.1096,4.4
43,-2.1082,43.1153,5.3
44,-2.3794,43.1286,4.6
45,-2.3939,43.1022,5.8
46,-2.0811,43.0619,4.8
47,-2.2722,43.0625,6.2
48,-2.4047,43.0406,5.0
49,-2.4792,43.0708,5.0
50,-2.1817,42.9764,6.0
51,-2.2883,42.9828,4.6
52,-2.5264,43.0064,5.0
53,-2.5644,42.9995,5.0
54,-2.47,42.8764,5.1
55,-2.5128,42.8961,4.9
56,-2.6256,43.0492,4.6
57,-2.6044,43.0245,4.9
58,-2.5411,43.0389,4.8
59,-2.5894,43.0106,4.8
60,-2.5439,43.0536,5.0
61,-2.6017,43.0092,4.7
62,-2.9528,43.0397,5.2
63,-2.9469,43.017,5.1
64,-3.0381,43.1083,4.8
65,-3.0772,43.0925,5.3
66,-3.0628,43.1217,4.8
67,-3.0314,43.1408,5.3
68,-2.8353,43.1508,5.0
69,-2.7644,43.3989,4.6
70,-2.7586,43.38,4.3
71,-2.6347,43.3717,5.7
72,-2.6931,43.312,5.4
73,-2.4728,43.2531,5.6
74,-2.5847,43.2981,4.4
75,-2.5828,43.2839,4.6
76,-2.6144,43.2933,5.5
77,-2.5833,43.1956,4.4
78,-2.6272,43.2064,4.2
79,-2.6222,43.2047,5.4
80,-2.6506,43.1683,4.7
81,-2.6611,43.1597,4.4
82,-2.6494,43.1439,5.0
83,-2.65,43.1917,4.4
84,-2.6503,43.1358,5.0
85,-2.6569,43.0772,4.4
86,-2.7069,43.0753,4.8
87,-2.7714,43.1267,6.4
88,-2.7961,43.1053,4.5
89,-2.7872,43.1122,4.8
90,-2.8333,43.2597,4.2
91,-2.8347,43.2586,4.8
92,-2.87,43.2397,4.1
93,-2.8397,43.1467,5.8
94,-2.9711,43.0953,4.8
95,-2.9367,43.132,4.6
96,-3.0986,43.2975,4.1
97,-3.0917,43.1995,4.9
98,-3.0828,43.1772,5.4
99,-3.0597,43.1764,4.4
100,-3.2214,43.2014,4.8
101,-3.1314,43.19,4.6
102,-3.1714,43.2617,5.1
103,-3.1772,43.2603,5.2
104,-3.2439,43.2731,4.1
105,-3.2592,43.2753,5.5
106,-3.3228,43.2106,4.2
107,-3.3678,43.2417,6.8
108,-3.1994,43.3103,5.4
109,-3.1717,43.3108,5.0
110,-3.2361,43.3422,4.9
111,-3.2772,43.3881,4.4
112,-5.2927,36.5603,6.69
113,-5.2752,36.566,5.49
114,-4.9962,41.1533,5.72
115,-4.24,41.3081,4.83
116,-4.5422,39.6631,5.92
117,-2.7006,43.2814,5.74
118,-4.4882,41.2676,5.6
119,-3.2814,43.3736,5.1
120,-3.2861,43.2981,5.3
121,-3.3278,43.3078,5.0
122,-3.8971,43.1429,4.4
123,-3.889,43.2828,4.6
124,-3.9195,43.2854,4.2
125,-3.9191,43.2566,4.9
126,-4.113,43.3033,5.5
127,-4.0138,43.2471,4.8
128,-4.0744,43.2264,5.5
129,-4.101,43.3043,4.1
130,-4.2708,43.3475,4.5
131,-4.2928,43.3439,4.8
132,-4.2844,43.3425,4.8
133,-5.2561,43.4453,4.1
134,-5.2117,43.4356,4.2
135,-5.4683,43.3433,4.3
136,-5.4911,43.4272,5.6
137,-6.1028,43.5144,4.1
138,-6.2792,43.417,4.3
139,-6.2869,43.3675,5.3
140,-6.2875,43.4433,5.6
141,-6.3458,43.4458,4.4
142,-7.0744,43.5192,5.5
143,-7.1403,43.46,6.3
144,-7.564,43.4731,4.6
145,-7.5662,43.6281,4.5
146,-7.6636,43.7008,5.1
147,-7.4244,43.1342,5.0
148,-7.8958,43.1197,5.5
149,-7.9032,43.1349,5.1
150,-8.0139,43.1403,6.0
151,-7.995,43.2258,5.3
152,-8.068,43.2053,4.5
153,-8.0783,43.2045,5.4
154,-8.1086,43.1797,4.5
155,-8.08,43.2281,4.8
156,-8.1575,43.4689,4.7
157,-7.9478,43.63,6.6
158,-8.1842,43.5681,5.7
159,-8.3983,43.227,5.6
160,-8.9372,43.155,6.0
161,-8.9478,43.162,5.3
162,-9.0894,42.875,5.3
163,-9.0686,42.8439,5.1
164,-8.4556,42.7609,5.1
165,-8.7061,42.8245,4.8
166,-8.7047,42.8131,4.8
167,-8.7389,42.7175,4.9
168,-8.8878,42.7017,5.5
169,-8.7294,42.6156,4.3
170,-8.7575,42.5656,4.7
171,-8.6203,42.5759,5.2
172,-8.7041,42.4842,4.4
173,-8.3491,42.5536,4.9
174,-8.5842,42.212,4.7
175,-8.58,42.2086,4.9
176,-8.573,42.2522,4.8
177,-7.9611,42.0425,4.9
178,-8.0005,42.2945,5.3
179,-7.3394,41.957,5.5
180,-7.1347,42.1175,5.6
181,-3.2225,43.3058,4.5
182,-3.3589,43.3125,5.3
183,-3.4475,43.1522,4.4
184,-3.4497,43.1483,4.5
185,-3.5839,43.1578,4.3
186,-3.5925,43.1608,4.8
187,-3.6053,43.2031,4.8
188,-3.63,43.2045,6.7
189,-3.6756,43.2239,4.4
190,-3.6906,43.2286,4.8
191,-3.6683,43.2467,4.8
192,-3.6478,43.2981,5.0
193,-3.7706,43.2669,4.9
194,-3.7433,43.2147,4.4
195,-3.7517,43.1178,4.2
196,-3.7528,43.1142,4.7
197,-3.8167,43.1731,4.7
198,-3.8175,43.0803,4.9
199,-3.8544,43.0464,4.1
200,-3.8597,43.042,4.4
201,-3.9114,43.035,4.7
202,-3.9786,43.0361,4.6
203,-3.9572,43.0753,4.9
204,-3.9731,43.2042,4.6
205,-4.1406,43.2014,4.2
206,-4.1242,43.1197,5.5
207,-4.0842,43.0767,4.6
208,-4.0617,43.0731,4.2
209,-4.0369,43.045,4.9
210,-4.0661,43.0345,4.7
211,-4.1042,43.0225,5.5
212,-3.8489,42.9236,4.4
213,-3.8867,42.9189,4.3
214,-3.9511,42.8936,4.1
215,-3.9011,42.8045,7.5
216,-3.9592,42.8114,5.0
217,-3.9961,42.8492,4.9
218,-4.0542,42.8114,5.1
219,-4.0464,42.8792,5.2
220,-4.0372,42.9195,4.1
221,-4.0592,42.9514,4.8
222,-4.1014,42.9347,4.6
223,-4.1255,42.967,4.7
224,-4.1436,42.9489,6.7
225,-4.2136,42.9681,6.0
226,-4.2472,42.9675,4.9
227,-4.2444,42.9728,4.3
228,-4.2292,43.0681,4.8
229,-4.275,43.1047,5.0
230,-4.3719,43.0433,4.8
231,-4.3286,43.2303,4.5
232,-4.3369,43.1867,4.4
233,-4.4678,43.2422,4.6
234,-4.4953,43.1033,4.7
235,-4.5164,43.1336,4.2
236,-4.5422,43.1856,5.3
237,-4.6633,43.0561,4.9
238,-4.7561,43.0828,4.7
239,-4.7533,43.085,4.6
240,-4.7539,43.1022,4.9
241,-4.7864,43.167,5.3
242,-4.7594,43.182,5.7
243,-4.715,43.1508,4.9
244,-4.6589,43.2369,6.9
245,-4.6842,43.2258,6.8
246,-4.678,43.3536,4.9
247,-4.7217,43.2961,5.9
248,-4.7258,43.2583,6.9
249,-4.755,43.2367,4.8
250,-4.7594,43.1947,5.8
251,-4.9872,43.2792,4.6
252,-4.993,43.2608,4.2
253,-4.9986,43.262,4.9
254,-5.0205,43.2642,4.9
255,-5.0172,43.2861,4.2
256,-5.2253,43.277,4.8
257,-5.2114,43.2025,5.1
258,-5.1564,43.1942,4.2
259,-5.1283,43.1458,4.3
260,-5.2164,43.1033,4.4
261,-5.2217,43.1106,7.4
262,-5.2914,43.1445,4.7
263,-5.3061,43.1008,4.4
264,-5.3861,43.2756,4.6
265,-5.3967,43.2725,4.6
266,-5.368,43.2333,4.3
267,-5.4778,43.2156,4.3
268,-5.4517,43.1889,4.6
269,-5.4372,43.192,4.8
270,-5.4255,43.1967,4.2
271,-5.4781,43.1533,4.2
272,-5.4025,43.0597,4.9
273,-5.4606,43.0736,4.1
274,-5.5189,43.1028,4.4
275,-5.525,43.2917,4.7
276,-5.6586,43.2222,4.4
277,-5.643,43.2228,4.2
278,-5.6244,43.1961,4.2
279,-5.6694,43.1325,4.5
280,-5.6903,43.1247,5.6
281,-5.675,43.1272,5.9
282,-5.7611,43.01,5.7
283,-5.7658,43.0008,4.8
284,-5.7928,42.9864,4.8
285,-5.8011,42.9861,4.9
286,-5.7783,43.1836,4.7
287,-5.8336,43.2256,4.6
288,-5.9264,43.2392,6.5
289,-5.925,43.185,4.9
290,-5.9053,43.1442,5.4
291,-5.8961,43.1397,4.2
292,-5.9086,43.0611,4.5
293,-5.8925,42.9925,4.8
294,-6.0086,43.0625,5.5
295,-5.9856,43.0911,4.2
296,-5.9772,43.185,5.1
297,-6.0033,43.1639,4.2
298,-6.0728,43.137,4.7
299,-6.0408,43.085,4.2
300,-6.1078,43.1975,5.3
301,-6.1605,43.1633,4.2
302,-6.0942,43.0589,4.5
303,-6.1169,43.0536,4.7
304,-6.1455,43.0508,6.7
305,-6.2394,43.057,6.7
306,-6.2383,43.0336,5.8
307,-6.3233,43.0617,5.5
308,-6.32,43.0917,4.1
309,-6.3364,43.1431,4.2
310,-6.2911,43.2233,4.4
311,-6.253,43.2278,6.7
312,-6.2825,43.4531,4.4
313,-6.3544,43.3781,4.8
314,-6.3992,43.3717,6.6
315,-6.3742,43.3442,4.1
316,-6.47,43.3303,4.4
317,-6.4286,43.2261,4.4
318,-6.4458,43.1781,4.3
319,-6.4647,43.0711,4.6
320,-6.4697,43.05,4.2
321,-6.4864,42.9739,4.1
322,-6.448,42.9461,4.3
323,-6.5264,42.9392,4.2
324,-6.5747,42.982,4.2
325,-6.6189,42.9542,4.3
326,-6.7872,42.9172,4.7
327,-6.7025,42.9425,4.2
328,-6.7472,43.0222,4.3
329,-6.8869,42.9945,5.0
330,-6.8769,42.9992,5.0
331,-6.8247,43.065,4.4
332,-6.6742,43.1528,5.7
333,-6.5728,43.1842,5.0
334,-6.5553,43.2142,5.0
335,-6.5844,43.232,4.9
336,-6.79,43.2017,4.6
337,-6.7694,43.2292,4.8
338,-6.7319,43.2597,4.8
339,-6.6705,43.3086,4.2
340,-6.6458,43.4691,4.6
341,-6.7269,43.332,4.1
342,-6.7569,43.3706,5.0
343,-6.8219,43.4406,4.6
344,-6.8358,43.4364,4.2
345,-6.9519,43.3703,4.3
346,-7.0125,43.347,4.7
347,-7.0267,43.3208,4.1
348,-6.9691,43.275,4.6
349,-6.86,43.2436,5.0
350,-6.9453,43.1347,4.1
351,-6.9547,43.1689,4.5
352,-7.0322,43.2736,4.8
353,-7.6697,43.5136,4.9
354,-7.5197,43.5813,4.6
355,-7.6461,43.5361,4.6
356,-7.4186,43.5947,4.4
357,-7.4953,43.5836,4.4
358,-7.4586,43.593,4.4
359,-7.46,43.4466,4.4
360,-7.4053,43.4541,4.5
361,-7.6181,43.4208,4.5
362,-7.6308,43.448,4.8
363,-7.5331,43.5925,4.8
364,-7.5628,43.548,4.3
365,-7.4897,43.4466,4.5
366,-7.5091,43.5183,4.9
367,-7.6908,43.3086,5.2
368,-7.6686,43.4947,5.2
369,-7.5828,43.5538,5.0
370,-7.5836,43.5141,4.7
371,-7.4253,43.4758,4.9
372,-7.635,43.4863,4.6
373,-7.5303,43.4647,4.4
374,-7.5464,43.4338,4.8
375,-7.5386,43.4902,4.7
376,-7.5881,43.4705,4.5
377,-7.5539,43.4638,4.4
378,-7.5336,43.5508,4.4
379,-7.4164,43.5911,4.5
380,-7.5389,43.5563,4.4
381,-7.4497,43.4627,4.7
382,-7.4461,43.4214,4.7
383,-8.8003,41.9341,4.8
384,-8.6783,42.0759,4.5
385,-8.7022,42.0448,5.1
386,-8.6208,42.5759,4.4
387,-8.7837,43.1647,5.3
388,-8.7337,43.1508,4.9
389,-8.9337,43.2369,5.1
390,-8.1292,41.9014,4.7
391,-8.1503,42.2341,4.4
392,-8.0336,42.4507,4.7
393,-7.3653,43.6147,4.8
394,-6.5203,43.5133,4.4
395,-6.1264,43.4947,4.4
396,-6.1483,43.5333,4.3
397,-7.8403,43.4481,4.8
398,-7.9697,43.4341,4.3
399,-7.9531,43.4174,4.2
400,-8.4198,42.9841,5.2
401,-8.3948,43.3174,5.6
402,-8.3323,43.3841,6.0
403,-8.3387,43.3974,5.0
404,-8.442,42.9508,5.2
405,-8.9698,43.0341,5.0
406,-8.342,43.3008,5.5
407,-2.2333,43.1008,6.0
408,-2.4694,43.2036,5.3
409,-1.9277,43.3174,4.8
410,-2.3286,42.937,5.9
411,-7.695,43.5247,4.2
412,-7.0502,43.0897,4.9
413,-7.5503,43.2508,4.7
414,-7.2503,42.9758,4.5
415,-6.9002,42.8008,4.6
416,-7.4875,42.6781,5.1
417,-7.3503,42.9258,5.1
418,-7.1363,42.8841,5.2
419,-7.303,42.6674,5.2
420,-0.7499,42.4563,7.8
421,-0.7415,42.4535,7.7
422,0.0085,42.573,7.7
423,0.1585,42.5702,7.8
424,0.1891,42.5591,7.8
425,0.1919,42.4369,7.8
426,0.9836,42.323,7.7
427,1.3419,42.3035,8.0
428,1.7503,42.0369,7.9
429,1.2641,41.9868,7.9
430,1.4641,42.023,7.8
431,1.403,42.0535,7.7
