,Longitude,Latitude,Sand [%]
0,-5.0113,41.4899,98.2
1,-2.7363,42.4142,37.0
2,-4.267,41.3465,96.0
3,-6.6181,38.5071,38.0
4,-1.7449,41.7826,49.4
5,-3.1805,41.3507,66.8
6,-5.0324,41.5823,12.4
7,-2.0805,40.1132,19.2
8,-4.1922,43.1491,33.8
9,-5.9305,42.8624,72.0
10,-5.0741,40.2521,81.7
11,-2.2579,41.0124,72.3
12,-4.5457,41.3026,95.0
13,-1.2815,42.9428,23.0
14,-5.0051,40.3028,79.9
15,-3.9262,41.1259,55.0
16,-3.2111,42.3142,23.0
17,-2.7113,41.9461,64.4
18,-2.7784,42.0553,39.2
19,-2.8216,42.0153,73.9
20,-2.479,42.0504,13.9
21,-2.4564,41.9906,53.3
22,-1.8392,41.8179,50.8
23,-1.8564,41.8224,46.8
24,-2.55,42.8174,64.3
25,-2.65,42.6008,14.0
26,-2.6,42.7841,73.0
27,-1.8278,43.3536,70.3
28,-1.8778,43.3292,68.5
29,-1.8097,43.3272,15.6
30,-1.8053,43.2903,15.5
31,-1.8458,43.2856,45.4
32,-1.9423,43.1386,29.1
33,-2.0039,43.1434,23.0
34,-1.9619,43.222,31.8
35,-2.0256,43.2764,5.6
36,-2.1122,43.2458,72.2
37,-2.1597,43.2397,1.9
38,-2.3111,43.2703,8.7
39,-2.2597,43.1883,17.7
40,-2.4067,43.2347,23.4
41,-2.2039,43.1758,22.6
42,-2.3242,43.1697,16.9
43,-2.5042,43.1625,6.5
44,-2.1068,43.1096,5.2
45,-2.1082,43.1153,27.9
46,-2.3794,43.1286,4.6
47,-2.3939,43.1022,19.3
48,-2.0811,43.0619,4.5
49,-2.2722,43.0625,9.6
50,-2.4047,43.0406,8.1
51,-2.4792,43.0708,13.2
52,-2.1817,42.9764,2.4
53,-2.2883,42.9828,8.5
54,-2.5264,43.0064,21.8
55,-2.5644,42.9995,10.6
56,-2.47,42.8764,3.7
57,-2.5128,42.8961,5.5
58,-2.6256,43.0492,30.4
59,-2.6044,43.0245,11.7
60,-2.5411,43.0389,18.6
61,-2.5894,43.0106,15.6
62,-2.5439,43.0536,18.6
63,-2.6017,43.0092,15.8
64,-2.9528,43.0397,13.5
65,-2.9469,43.017,10.5
66,-3.0381,43.1083,53.1
67,-3.0772,43.0925,22.9
68,-3.0628,43.1217,36.5
69,-3.0314,43.1408,9.1
70,-2.8353,43.1508,25.7
71,-2.7644,43.3989,21.1
72,-2.7586,43.38,52.1
73,-2.6347,43.3717,11.4
74,-2.6931,43.312,13.1
75,-2.4728,43.2531,11.8
76,-2.5847,43.2981,10.1
77,-2.5828,43.2839,41.4
78,-2.6144,43.2933,16.2
79,-2.5833,43.1956,71.9
80,-2.6272,43.2064,84.9
81,-2.6222,43.2047,54.1
82,-2.6506,43.1683,53.5
83,-2.6611,43.1597,36.8
84,-2.6494,43.1439,34.6
85,-2.65,43.1917,13.1
86,-2.6503,43.1358,30.1
87,-2.6569,43.0772,8.6
88,-2.7069,43.0753,28.5
89,-2.7714,43.1267,21.7
90,-2.7961,43.1053,3.7
91,-2.7872,43.1122,5.5
92,-2.8333,43.2597,31.9
93,-2.8347,43.2586,23.2
94,-2.8528,43.2228,19.2
95,-2.87,43.2397,12.4
96,-2.8397,43.1467,13.6
97,-2.8394,43.1439,11.6
98,-2.9711,43.0953,34.4
99,-2.9367,43.132,31.6
100,-3.0986,43.2975,62.4
101,-3.0917,43.1995,41.2
102,-3.0828,43.1772,35.5
103,-3.0597,43.1764,30.7
104,-3.2214,43.2014,11.7
105,-3.1314,43.19,28.3
106,-3.1714,43.2617,18.7
107,-3.1772,43.2603,8.5
108,-3.2097,43.2142,54.6
109,-3.2481,43.2758,32.4
110,-3.2439,43.2731,14.8
111,-3.2592,43.2753,15.8
112,-3.3228,43.2106,36.5
113,-3.3678,43.2417,43.1
114,-3.1994,43.3103,60.2
115,-3.1717,43.3108,27.2
116,-3.2361,43.3422,23.7
117,-3.2772,43.3881,15.6
118,-5.2927,36.5603,35.8
