,Longitude,Latitude,Clay min [%]
0,-5.0113,41.4899,0.5
1,-2.7363,42.4142,15.0
2,-4.267,41.3465,2.0
3,-6.6181,38.5071,15.0
4,-1.7449,41.7826,13.0
5,-3.1805,41.3507,11.2
6,-5.0324,41.5823,39.1
7,-2.0805,40.1132,43.6
8,-4.1922,43.1491,13.4
9,-5.9305,42.8624,13.0
10,-5.0741,40.2521,3.1
11,-2.2579,41.0124,3.0
12,-4.5457,41.3026,2.3
13,-1.2815,42.9428,17.0
14,-5.0051,40.3028,8.1
15,-3.9262,41.1259,10.2
16,-3.2111,42.3142,15.4
17,-2.7113,41.9461,11.8
18,-2.7784,42.0553,17.3
19,-2.8216,42.0153,6.4
20,-2.479,42.0504,32.7
21,-2.4564,41.9906,13.4
22,-1.8392,41.8179,9.9
23,-1.8564,41.8224,8.9
24,-2.55,42.8174,8.2
25,-2.65,42.6008,7.0
26,-2.6,42.7841,6.5
27,-1.8278,43.3536,13.5
28,-1.8778,43.3292,12.2
29,-1.8097,43.3272,32.1
30,-1.8053,43.2903,32.9
31,-1.8458,43.2856,19.1
32,-1.9423,43.1386,25.1
33,-2.0039,43.1434,26.0
34,-1.9619,43.222,26.1
35,-2.0256,43.2764,32.1
36,-2.1122,43.2458,13.1
37,-2.1597,43.2397,29.6
38,-2.3111,43.2703,30.2
39,-2.2597,43.1883,31.7
40,-2.4067,43.2347,26.5
41,-2.2039,43.1758,28.3
42,-2.3242,43.1697,25.9
43,-2.5042,43.1625,20.3
44,-2.1068,43.1096,27.9
45,-2.1082,43.1153,24.2
46,-2.3794,43.1286,41.3
47,-2.3939,43.1022,23.8
48,-2.0811,43.0619,34.3
49,-2.2722,43.0625,32.6
50,-2.4047,43.0406,28.2
51,-2.4792,43.0708,22.5
52,-2.1817,42.9764,33.8
53,-2.2883,42.9828,20.3
54,-2.5264,43.0064,17.1
55,-2.5644,42.9995,21.1
56,-2.47,42.8764,21.1
57,-2.5128,42.8961,16.7
58,-2.6256,43.0492,23.4
59,-2.6044,43.0245,27.9
60,-2.5411,43.0389,25.3
61,-2.5894,43.0106,23.7
62,-2.5439,43.0536,29.5
63,-2.6017,43.0092,18.4
64,-2.9528,43.0397,20.8
65,-2.9469,43.017,25.6
66,-3.0381,43.1083,13.7
67,-3.0772,43.0925,18.6
68,-3.0628,43.1217,15.4
69,-3.0314,43.1408,26.1
70,-2.8353,43.1508,21.9
71,-2.7644,43.3989,29.1
72,-2.7586,43.38,19.6
73,-2.6347,43.3717,24.9
74,-2.6931,43.312,28.8
75,-2.4728,43.2531,35.3
76,-2.5847,43.2981,39.5
77,-2.5828,43.2839,22.5
78,-2.6144,43.2933,28.4
79,-2.5833,43.1956,10.9
80,-2.6272,43.2064,4.7
81,-2.6222,43.2047,18.8
82,-2.6506,43.1683,20.4
83,-2.6611,43.1597,22.8
84,-2.6494,43.1439,17.9
85,-2.65,43.1917,34.1
86,-2.6503,43.1358,26.1
87,-2.6569,43.0772,33.5
88,-2.7069,43.0753,27.4
89,-2.7714,43.1267,24.2
90,-2.7961,43.1053,38.1
91,-2.7872,43.1122,33.4
92,-2.8333,43.2597,22.2
93,-2.8347,43.2586,31.6
94,-2.8528,43.2228,24.7
95,-2.87,43.2397,28.5
96,-2.8397,43.1467,33.2
97,-2.8394,43.1439,31.2
98,-2.9711,43.0953,18.5
99,-2.9367,43.132,18.3
100,-3.0986,43.2975,19.6
101,-3.0917,43.1995,24.9
102,-3.0828,43.1772,17.6
103,-3.0597,43.1764,20.7
104,-3.2214,43.2014,22.2
105,-3.1314,43.19,22.8
106,-3.1714,43.2617,29.1
107,-3.1772,43.2603,30.6
108,-3.2097,43.2142,23.8
109,-3.2481,43.2758,21.8
110,-3.2439,43.2731,36.8
111,-3.2592,43.2753,24.1
112,-3.3228,43.2106,25.1
113,-3.3678,43.2417,21.3
114,-3.1994,43.3103,13.6
115,-3.1717,43.3108,17.3
116,-3.2361,43.3422,11.1
117,-3.2772,43.3881,34.2
118,-5.2927,36.5603,25.0
119,-5.2752,36.566,14.8
120,-4.9962,41.1533,3.4
121,-4.24,41.3081,1.0
122,-4.5422,39.6631,6.5
123,-2.7006,43.2814,20.0
124,-4.4882,41.2676,2.2
125,-3.2814,43.3736,32.2
126,-3.2861,43.2981,36.9
127,-3.3278,43.3078,35.3
128,-3.8971,43.1429,20.7
129,-3.889,43.2828,17.8
130,-3.9195,43.2854,24.4
131,-3.9191,43.2566,21.3
132,-4.113,43.3033,29.4
133,-4.0138,43.2471,28.4
134,-4.0744,43.2264,20.1
135,-4.101,43.3043,27.3
136,-4.2708,43.3475,33.6
137,-4.2928,43.3439,33.1
138,-4.2844,43.3425,24.6
139,-5.2561,43.4453,8.9
140,-5.2147,43.4314,11.1
141,-5.2117,43.4356,5.5
142,-5.3128,43.3342,8.8
143,-5.4683,43.3433,23.6
144,-5.5061,43.4861,13.9
145,-5.4819,43.4856,8.2
146,-5.4911,43.4272,31.6
147,-5.535,43.4631,26.1
148,-6.1028,43.5144,24.2
149,-6.2792,43.417,17.9
150,-6.2869,43.3675,13.1
151,-6.2875,43.4433,18.3
152,-6.3458,43.4458,24.5
153,-6.398,43.4447,19.3
154,-7.0744,43.5192,5.9
155,-7.1403,43.46,6.9
156,-7.564,43.4731,8.2
157,-7.5662,43.6281,6.3
158,-7.6636,43.7008,15.8
159,-7.4244,43.1342,5.2
160,-7.8958,43.1197,22.5
161,-7.9032,43.1349,12.1
162,-8.0139,43.1403,32.9
163,-7.995,43.2258,19.3
164,-8.068,43.2053,8.9
165,-8.0783,43.2045,14.2
166,-8.1086,43.1797,3.3
