,Longitude,Latitude,Litho [%] (Coarse material)
0,-5.0113,41.4899,0.05
1,-2.7363,42.4142,16.2
2,-4.267,41.3465,0.3
3,-6.6181,38.5071,22.67
4,-1.7449,41.7826,43.75
5,-3.1805,41.3507,10.98
6,-5.0324,41.5823,3.67
7,-2.0805,40.1132,1.43
8,-4.1922,43.1491,11.92
9,-5.9305,42.8624,63.3
10,-5.0741,40.2521,48.11
11,-2.2579,41.0124,37.19
12,-4.5457,41.3026,6.48
13,-1.2815,42.9428,13.18
14,-5.0051,40.3028,40.33
15,-3.9262,41.1259,32.42
16,-3.2111,42.3142,30.62
17,-2.7113,41.9461,52.01
18,-2.7784,42.0553,8.41
19,-2.8216,42.0153,56.85
20,-2.479,42.0504,15.98
21,-2.4564,41.9906,21.83
22,-1.8392,41.8179,68.96
23,-1.8564,41.8224,73.49
24,-2.55,42.8174,0.13
25,-2.65,42.6008,79.62
26,-2.6,42.7841,2.33
27,-1.8278,43.3536,1.05
28,-1.8778,43.3292,2.9
29,-1.8097,43.3272,6.21
30,-1.8053,43.2903,31.17
31,-1.8458,43.2856,19.95
32,-1.9423,43.1386,36.1
33,-2.0039,43.1434,28.23
34,-1.9619,43.222,2.55
35,-2.0256,43.2764,9.61
36,-2.1122,43.2458,8.17
37,-2.1597,43.2397,8.93
38,-2.3111,43.2703,7.36
39,-2.2597,43.1883,56.33
40,-2.4067,43.2347,13.97
41,-2.2039,43.1758,52.21
42,-2.3242,43.1697,16.04
43,-2.5042,43.1625,12.28
44,-2.1068,43.1096,1.76
45,-2.1082,43.1153,35.14
46,-2.3794,43.1286,0.31
47,-2.3939,43.1022,16.09
48,-2.0811,43.0619,8.03
49,-2.2722,43.0625,25.39
50,-2.4047,43.0406,36.87
51,-2.4792,43.0708,1.17
52,-2.1817,42.9764,0.08
53,-2.2883,42.9828,10.42
54,-2.5264,43.0064,10.71
55,-2.5644,42.9995,12.19
56,-2.47,42.8764,0.29
57,-2.5128,42.8961,0.87
58,-2.6256,43.0492,12.08
59,-2.6044,43.0245,2.8
60,-2.5411,43.0389,8.91
61,-2.5894,43.0106,15.21
62,-2.5439,43.0536,14.37
63,-2.6017,43.0092,7.97
64,-2.9528,43.0397,6.21
65,-2.9469,43.017,0.46
66,-3.0381,43.1083,3.99
67,-3.0772,43.0925,8.66
68,-3.0628,43.1217,76.86
69,-3.0314,43.1408,2.37
70,-2.8353,43.1508,25.84
71,-2.7644,43.3989,54.09
72,-2.7586,43.38,2.99
73,-2.6347,43.3717,0.8
74,-2.6931,43.312,48.88
75,-2.4728,43.2531,9.9
76,-2.5847,43.2981,27.0
77,-2.5828,43.2839,23.41
78,-2.6144,43.2933,7.61
79,-2.5833,43.1956,4.25
80,-2.6272,43.2064,9.12
81,-2.6222,43.2047,0.17
82,-2.6506,43.1683,4.52
83,-2.6611,43.1597,2.85
84,-2.6494,43.1439,3.61
85,-2.65,43.1917,4.59
86,-2.6503,43.1358,11.85
87,-2.6569,43.0772,4.48
88,-2.7069,43.0753,11.24
89,-2.7714,43.1267,6.04
90,-2.7961,43.1053,3.95
91,-2.7872,43.1122,7.48
92,-2.8333,43.2597,0.63
93,-2.8347,43.2586,0.57
94,-2.8528,43.2228,1.66
95,-2.87,43.2397,3.62
96,-2.8397,43.1467,5.51
97,-2.8394,43.1439,23.71
98,-2.9711,43.0953,34.89
99,-2.9367,43.132,6.16
100,-3.0986,43.2975,4.08
101,-3.0917,43.1995,3.05
102,-3.0828,43.1772,7.05
103,-3.0597,43.1764,1.43
104,-3.2214,43.2014,19.07
105,-3.1314,43.19,5.1
106,-3.1714,43.2617,39.98
107,-3.1772,43.2603,0.32
108,-3.2097,43.2142,0.16
109,-3.2481,43.2758,1.71
110,-3.2439,43.2731,8.09
111,-3.2592,43.2753,2.01
112,-3.3228,43.2106,29.72
113,-3.3678,43.2417,68.81
114,-3.1994,43.3103,20.52
115,-3.1717,43.3108,0.45
116,-3.2361,43.3422,36.15
117,-3.2772,43.3881,0.13
118,-5.2927,36.5603,31.75
119,-5.2752,36.566,34.55
120,-4.9962,41.1533,24.38
121,-4.5422,39.6631,42.54
