,Longitude,Latitude,P [mg/kg]
0,-5.0113,41.4899,2.13
1,-2.7363,42.4142,1.78
2,-4.267,41.3465,1.24
3,-6.6181,38.5071,5.98
4,-1.7449,41.7826,2.71
5,-3.1805,41.3507,2.14
6,-5.0324,41.5823,1.79
7,-2.0805,40.1132,2.89
8,-4.1922,43.1491,1.71
9,-5.9305,42.8624,4.83
10,-5.0741,40.2521,0.77
11,-2.2579,41.0124,3.28
12,-4.5457,41.3026,1.99
13,-1.2815,42.9428,1.74
14,-5.0051,40.3028,1.27
15,-3.9262,41.1259,3.77
16,-1.8278,43.3536,42.0
17,-1.8778,43.3292,112.0
18,-1.8097,43.3272,18.0
19,-1.8053,43.2903,111.0
20,-1.8458,43.2856,191.0
21,-1.9423,43.1386,217.0
22,-2.0039,43.1434,74.0
23,-1.9619,43.222,205.0
24,-2.0256,43.2764,169.0
25,-2.1122,43.2458,52.0
26,-2.1597,43.2397,54.0
27,-2.3111,43.2703,74.0
28,-2.2597,43.1883,103.0
29,-2.4067,43.2347,68.0
30,-2.2039,43.1758,176.0
31,-2.3242,43.1697,250.0
32,-2.5042,43.1625,71.0
33,-2.1068,43.1096,24.0
34,-2.1082,43.1153,90.0
35,-2.3794,43.1286,135.0
36,-2.3939,43.1022,180.0
37,-2.0811,43.0619,59.0
38,-2.2722,43.0625,137.0
39,-2.4047,43.0406,250.0
40,-2.4792,43.0708,181.0
41,-2.1817,42.9764,63.0
42,-2.2883,42.9828,128.0
43,-2.5264,43.0064,84.0
44,-2.5644,42.9995,57.0
45,-2.47,42.8764,137.0
46,-2.5128,42.8961,36.0
47,-2.6256,43.0492,194.0
48,-2.6044,43.0245,82.0
49,-2.5411,43.0389,164.0
50,-2.5894,43.0106,250.0
51,-2.5439,43.0536,74.0
52,-2.6017,43.0092,54.0
53,-2.9528,43.0397,155.0
54,-2.9469,43.017,153.0
55,-3.0381,43.1083,104.0
56,-3.0772,43.0925,182.0
57,-3.0628,43.1217,96.0
58,-3.0314,43.1408,38.0
59,-2.8353,43.1508,250.0
60,-2.7644,43.3989,163.0
61,-2.7586,43.38,213.0
62,-2.6347,43.3717,57.0
63,-2.6931,43.312,67.0
64,-2.4728,43.2531,97.0
65,-2.5847,43.2981,223.0
66,-2.5828,43.2839,59.0
67,-2.6144,43.2933,250.0
68,-2.5833,43.1956,91.0
69,-2.6272,43.2064,40.0
70,-2.6222,43.2047,91.0
71,-2.6506,43.1683,147.0
72,-2.6611,43.1597,81.0
73,-2.6494,43.1439,67.0
74,-2.65,43.1917,129.0
75,-2.6503,43.1358,24.0
76,-2.6569,43.0772,92.0
77,-2.7069,43.0753,172.0
78,-2.7714,43.1267,101.0
79,-2.7961,43.1053,127.0
80,-2.7872,43.1122,88.0
81,-2.8333,43.2597,97.0
82,-2.8347,43.2586,55.0
83,-2.8528,43.2228,115.0
84,-2.87,43.2397,152.0
85,-2.8397,43.1467,126.0
86,-2.8394,43.1439,142.0
87,-2.9711,43.0953,44.0
88,-2.9367,43.132,34.0
89,-3.0986,43.2975,35.0
90,-3.0917,43.1995,64.0
91,-3.0828,43.1772,88.0
92,-3.0597,43.1764,78.0
93,-3.2214,43.2014,199.0
94,-3.1314,43.19,48.0
95,-3.1714,43.2617,167.0
96,-3.1772,43.2603,47.0
97,-3.2097,43.2142,114.0
98,-3.2481,43.2758,123.0
99,-3.2439,43.2731,250.0
100,-3.2592,43.2753,118.0
101,-3.3228,43.2106,94.0
102,-3.3678,43.2417,59.0
103,-3.1994,43.3103,53.0
104,-3.1717,43.3108,113.0
105,-3.2361,43.3422,87.0
106,-3.2772,43.3881,224.0
107,-4.9962,41.1533,17.0
108,-4.24,41.3081,8.25
109,-4.5422,39.6631,3.92
110,-2.7006,43.2814,1.35
111,-4.4882,41.2676,0.98
112,-3.2814,43.3736,87.0
113,-3.2861,43.2981,43.0
114,-3.3278,43.3078,62.0
115,-3.8971,43.1429,137.0
116,-3.889,43.2828,160.0
117,-3.9195,43.2854,132.0
118,-3.9191,43.2566,116.0
119,-4.113,43.3033,225.0
120,-4.0138,43.2471,120.0
121,-4.0744,43.2264,250.0
122,-4.101,43.3043,250.0
123,-4.2708,43.3475,62.0
124,-4.2928,43.3439,215.0
125,-4.2844,43.3425,104.0
126,-5.2561,43.4453,250.0
127,-5.2147,43.4314,184.0
128,-5.2117,43.4356,72.0
129,-5.3128,43.3342,198.0
130,-5.4683,43.3433,98.0
131,-5.5061,43.4861,121.0
132,-5.4819,43.4856,107.0
133,-5.4911,43.4272,173.0
134,-5.535,43.4631,89.0
135,-6.1028,43.5144,250.0
136,-6.2792,43.417,250.0
137,-6.2869,43.3675,250.0
138,-6.2875,43.4433,123.0
139,-6.3458,43.4458,199.0
140,-6.398,43.4447,250.0
141,-7.0744,43.5192,121.0
142,-7.1403,43.46,162.0
143,-7.564,43.4731,201.0
144,-7.5662,43.6281,250.0
145,-7.6636,43.7008,218.0
146,-7.4244,43.1342,77.0
147,-7.8958,43.1197,92.0
148,-7.9032,43.1349,150.0
149,-8.0139,43.1403,67.0
150,-7.995,43.2258,130.0
151,-8.068,43.2053,196.0
152,-8.0783,43.2045,250.0
153,-8.1086,43.1797,250.0
154,-8.08,43.2281,250.0
155,-8.1575,43.4689,148.0
156,-7.9478,43.63,40.0
157,-8.1842,43.5681,250.0
158,-8.3983,43.227,213.0
159,-8.9372,43.155,250.0
160,-8.9478,43.162,95.0
161,-9.0894,42.875,90.0
162,-9.0686,42.8439,250.0
163,-8.4556,42.7609,218.0
164,-8.7061,42.8245,250.0
165,-8.7047,42.8131,250.0
166,-8.7389,42.7175,187.0
167,-8.8878,42.7017,219.0
168,-8.7294,42.6156,135.0
169,-8.7575,42.5656,250.0
170,-8.6203,42.5759,136.0
171,-8.7041,42.4842,168.0
172,-8.3491,42.5536,124.0
173,-8.5842,42.212,85.0
174,-8.58,42.2086,250.0
175,-8.573,42.2522,209.0
176,-7.9611,42.0425,250.0
177,-8.0005,42.2945,105.0
178,-7.3394,41.957,88.0
179,-7.1347,42.1175,190.0
180,-3.2225,43.3058,65.0
181,-3.3589,43.3125,46.0
182,-3.4475,43.1522,201.0
183,-3.4497,43.1483,24.0
184,-3.5839,43.1578,80.0
185,-3.5925,43.1608,58.0
186,-3.6053,43.2031,76.0
187,-3.63,43.2045,181.0
188,-3.6756,43.2239,80.0
189,-3.6906,43.2286,149.0
190,-3.6683,43.2467,154.0
191,-3.6478,43.2981,18.0
192,-3.7706,43.2669,82.0
193,-3.7433,43.2147,63.0
194,-3.7517,43.1178,163.0
195,-3.7528,43.1142,116.0
196,-3.8167,43.1731,136.0
197,-3.8175,43.0803,210.0
198,-3.8544,43.0464,300.0
199,-3.8597,43.042,19.0
200,-3.8894,43.0492,115.0
201,-3.9114,43.035,95.0
202,-3.9786,43.0361,157.0
203,-3.9572,43.0753,300.0
204,-3.9619,43.0895,300.0
205,-3.9731,43.2042,113.0
206,-4.1406,43.2014,76.0
207,-4.1242,43.1197,300.0
208,-4.0458,43.0961,300.0
209,-4.0447,43.0925,300.0
210,-4.0842,43.0767,177.0
211,-4.0617,43.0731,300.0
212,-4.0369,43.045,167.0
213,-4.0661,43.0345,300.0
214,-4.1042,43.0225,196.0
215,-3.8489,42.9236,149.0
216,-3.8867,42.9189,300.0
217,-3.9511,42.8936,285.0
218,-3.9011,42.8045,34.0
219,-3.913,42.7978,6.0
220,-3.9592,42.8114,96.0
221,-3.9961,42.8492,278.0
222,-4.0542,42.8114,23.0
223,-4.0464,42.8792,278.0
224,-4.0372,42.9195,300.0
225,-4.0592,42.9514,49.0
226,-4.1014,42.9347,197.0
227,-4.1255,42.967,121.0
228,-4.1436,42.9489,72.0
229,-4.2136,42.9681,188.0
230,-4.2472,42.9675,300.0
231,-4.2444,42.9728,153.0
232,-4.2292,43.0681,300.0
233,-4.275,43.1047,62.0
234,-4.3719,43.0433,210.0
235,-4.3897,43.07,208.0
236,-4.3286,43.2303,98.0
237,-4.3369,43.1867,44.0
238,-4.4678,43.2422,79.0
239,-4.4658,43.1236,267.0
240,-4.4953,43.1033,262.0
241,-4.5164,43.1336,91.0
242,-4.5422,43.1856,89.0
243,-4.6633,43.0561,214.0
244,-4.7561,43.0828,300.0
245,-4.7533,43.085,300.0
246,-4.7539,43.1022,300.0
247,-4.7864,43.167,96.0
248,-4.7594,43.182,300.0
249,-4.715,43.1508,99.0
250,-4.6589,43.2369,229.0
251,-4.6842,43.2258,300.0
252,-4.678,43.3536,300.0
253,-4.6889,43.3486,90.0
254,-4.7217,43.2961,48.0
255,-4.7258,43.2583,300.0
256,-4.755,43.2367,136.0
257,-4.7594,43.1947,94.0
258,-4.9975,43.4031,89.0
259,-4.9994,43.2889,114.0
260,-4.9872,43.2792,60.0
261,-4.993,43.2608,123.0
262,-4.9986,43.262,105.0
263,-5.013,43.2606,101.0
264,-5.0205,43.2642,18.0
265,-5.0172,43.2861,78.0
266,-5.195,43.4369,63.0
267,-5.2253,43.277,166.0
268,-5.2114,43.2025,238.0
269,-5.1564,43.1942,111.0
270,-5.1283,43.1458,85.0
271,-5.2164,43.1033,84.0
272,-5.2217,43.1106,300.0
273,-5.2914,43.1445,44.0
274,-5.3061,43.1008,148.0
275,-5.3217,43.1111,106.0
276,-5.3861,43.2756,300.0
277,-5.3967,43.2725,65.0
278,-5.368,43.2333,300.0
279,-5.4778,43.2156,99.0
280,-5.4517,43.1889,31.0
281,-5.4372,43.192,98.0
282,-5.4255,43.1967,268.0
283,-5.4781,43.1533,268.0
284,-5.4025,43.0597,165.0
285,-5.4606,43.0736,286.0
286,-5.5189,43.1028,170.0
287,-5.5889,43.0681,300.0
288,-5.525,43.2917,96.0
289,-5.6586,43.2222,184.0
290,-5.643,43.2228,149.0
291,-5.6244,43.1961,300.0
292,-5.6694,43.1325,163.0
293,-5.6903,43.1247,300.0
294,-5.675,43.1272,87.0
295,-5.6883,43.1147,300.0
296,-5.7611,43.01,158.0
297,-5.7658,43.0008,300.0
298,-5.7928,42.9864,300.0
299,-5.8011,42.9861,300.0
300,-5.7783,43.1836,70.0
301,-5.8336,43.2256,100.0
302,-5.9264,43.2392,147.0
303,-5.925,43.185,248.0
304,-5.9053,43.1442,300.0
305,-5.8961,43.1397,67.0
306,-5.9086,43.0611,127.0
307,-5.8925,42.9925,66.0
308,-6.0086,43.0625,300.0
309,-5.9856,43.0911,169.0
310,-5.9772,43.185,130.0
311,-6.0033,43.1639,295.0
312,-6.0728,43.137,127.0
313,-6.0472,43.0967,284.0
314,-6.0408,43.085,258.0
315,-6.1325,43.2378,320.0
316,-6.1078,43.1975,208.0
317,-6.1605,43.1633,300.0
318,-6.0942,43.0589,102.0
319,-6.1169,43.0536,248.0
320,-6.1455,43.0508,274.0
321,-6.2394,43.057,81.0
322,-6.2383,43.0336,200.0
323,-6.3233,43.0617,200.0
324,-6.32,43.0917,153.0
325,-6.3364,43.1431,300.0
326,-6.2911,43.2233,240.0
327,-6.253,43.2278,208.0
328,-6.2678,43.28,248.0
329,-6.2825,43.4531,116.0
330,-6.3544,43.3781,286.0
331,-6.3992,43.3717,288.0
332,-6.3742,43.3442,300.0
333,-6.47,43.3303,216.0
334,-6.3722,43.3097,102.0
335,-6.4286,43.2261,192.0
336,-6.4458,43.1781,300.0
337,-6.4658,43.0995,300.0
338,-6.4647,43.0711,300.0
339,-6.4697,43.05,248.0
340,-6.4283,43.07,300.0
341,-6.3772,43.06,300.0
342,-6.4275,42.9939,300.0
343,-6.4864,42.9739,300.0
344,-6.448,42.9461,300.0
345,-6.5264,42.9392,300.0
346,-6.5747,42.982,300.0
347,-6.6189,42.9542,300.0
348,-6.7872,42.9172,300.0
349,-6.743,42.9453,54.0
350,-6.7025,42.9425,156.0
351,-6.7472,43.0222,300.0
352,-6.7225,43.0428,300.0
353,-6.6789,43.0325,153.0
354,-6.6978,43.0125,296.0
355,-6.8869,42.9945,312.0
356,-6.8769,42.9992,294.0
357,-6.8247,43.065,128.0
358,-6.7958,43.1008,170.0
359,-6.6825,43.1614,300.0
360,-6.6742,43.1528,300.0
361,-6.5728,43.1842,247.0
362,-6.5553,43.2142,191.0
363,-6.5844,43.232,159.0
364,-6.6661,43.2631,246.0
365,-6.6758,43.2689,260.0
366,-6.79,43.2017,300.0
367,-6.7694,43.2292,261.0
368,-6.7319,43.2597,111.0
369,-6.6705,43.3086,300.0
370,-6.6458,43.4691,232.0
371,-6.7269,43.332,205.0
372,-6.7569,43.3706,165.0
373,-6.8219,43.4406,218.0
374,-6.8358,43.4364,100.0
375,-6.9519,43.3703,308.0
376,-7.0125,43.347,108.0
377,-7.0267,43.3208,100.0
378,-6.9691,43.275,220.0
379,-6.86,43.2436,167.0
380,-6.9453,43.1347,212.0
381,-6.9547,43.1689,194.0
382,-7.0322,43.2736,151.0
383,-7.6697,43.5136,0.4
384,-7.5197,43.5813,1.0
385,-7.6461,43.5361,0.5
386,-7.4186,43.5947,15.0
387,-7.4953,43.5836,16.0
388,-7.4586,43.593,2.0
389,-7.4342,43.5872,3.0
