,Longitude,Latitude,K [mg/kg]
0,-5.0113,41.4899,10.02
1,-2.7363,42.4142,135.7
2,-4.267,41.3465,103.19
3,-6.6181,38.5071,320.0
4,-1.7449,41.7826,93.97
5,-3.1805,41.3507,73.0
6,-5.0324,41.5823,276.32
7,-2.0805,40.1132,312.26
8,-4.1922,43.1491,121.36
9,-5.9305,42.8624,104.98
10,-5.0741,40.2521,115.81
11,-2.2579,41.0124,151.02
12,-4.5457,41.3026,13.04
13,-1.2815,42.9428,93.0
14,-5.0051,40.3028,80.02
15,-3.9262,41.1259,258.0
16,-1.8278,43.3536,140.0
17,-1.8778,43.3292,117.0
18,-1.8097,43.3272,141.0
19,-1.8053,43.2903,235.0
20,-1.8458,43.2856,80.0
21,-1.9423,43.1386,519.0
22,-2.0039,43.1434,396.0
23,-1.9619,43.222,169.0
24,-2.0256,43.2764,186.0
25,-2.1122,43.2458,73.0
26,-2.1597,43.2397,151.0
27,-2.3111,43.2703,434.0
28,-2.2597,43.1883,304.0
29,-2.4067,43.2347,138.0
30,-2.2039,43.1758,384.0
31,-2.3242,43.1697,321.0
32,-2.5042,43.1625,256.0
33,-2.1068,43.1096,743.0
34,-2.1082,43.1153,193.0
35,-2.3794,43.1286,141.0
36,-2.3939,43.1022,680.0
37,-2.0811,43.0619,206.0
38,-2.2722,43.0625,425.0
39,-2.4047,43.0406,235.0
40,-2.4792,43.0708,205.0
41,-2.1817,42.9764,239.0
42,-2.2883,42.9828,378.0
43,-2.5264,43.0064,171.0
44,-2.5644,42.9995,524.0
45,-2.47,42.8764,772.0
46,-2.5128,42.8961,208.0
47,-2.6256,43.0492,172.0
48,-2.6044,43.0245,564.0
49,-2.5411,43.0389,724.0
50,-2.5894,43.0106,238.0
51,-2.5439,43.0536,472.0
52,-2.6017,43.0092,179.0
53,-2.9528,43.0397,299.0
54,-2.9469,43.017,256.0
55,-3.0381,43.1083,578.0
56,-3.0772,43.0925,594.0
57,-3.0628,43.1217,296.0
58,-3.0314,43.1408,433.0
59,-2.8353,43.1508,744.0
60,-2.7644,43.3989,999.0
61,-2.7586,43.38,476.0
62,-2.6347,43.3717,534.0
63,-2.6931,43.312,740.0
64,-2.4728,43.2531,119.0
65,-2.5847,43.2981,631.0
66,-2.5828,43.2839,567.0
67,-2.6144,43.2933,637.0
68,-2.5833,43.1956,149.0
69,-2.6272,43.2064,128.0
70,-2.6222,43.2047,263.0
71,-2.6506,43.1683,241.0
72,-2.6611,43.1597,50.0
73,-2.6494,43.1439,342.0
74,-2.65,43.1917,275.0
75,-2.6503,43.1358,412.0
76,-2.6569,43.0772,332.0
77,-2.7069,43.0753,159.0
78,-2.7714,43.1267,433.0
79,-2.7961,43.1053,483.0
80,-2.7872,43.1122,638.0
81,-2.8333,43.2597,232.0
82,-2.8347,43.2586,434.0
83,-2.8528,43.2228,159.0
84,-2.87,43.2397,278.0
85,-2.8397,43.1467,206.0
86,-2.8394,43.1439,151.0
87,-2.9711,43.0953,267.0
88,-2.9367,43.132,96.0
89,-3.0986,43.2975,120.0
90,-3.0917,43.1995,361.0
91,-3.0828,43.1772,630.0
92,-3.0597,43.1764,882.0
93,-3.2214,43.2014,186.0
94,-3.1314,43.19,199.0
95,-3.1714,43.2617,572.0
96,-3.1772,43.2603,226.0
97,-3.2097,43.2142,134.0
98,-3.2481,43.2758,679.0
99,-3.2439,43.2731,688.0
100,-3.2592,43.2753,823.0
101,-3.3228,43.2106,370.0
102,-3.3678,43.2417,408.0
103,-3.1994,43.3103,143.0
104,-3.1717,43.3108,174.0
105,-3.2361,43.3422,234.0
106,-3.2772,43.3881,253.0
107,-4.9962,41.1533,80.42
108,-4.24,41.3081,130.0
109,-4.5422,39.6631,63.54
110,-2.7006,43.2814,56.0
111,-4.4882,41.2676,13.03
112,-3.2814,43.3736,144.0
113,-3.2861,43.2981,267.0
114,-3.3278,43.3078,233.0
115,-3.8971,43.1429,65.0
116,-3.889,43.2828,423.0
117,-3.9195,43.2854,271.0
118,-3.9191,43.2566,151.0
119,-4.113,43.3033,109.0
120,-4.0138,43.2471,243.0
121,-4.0744,43.2264,421.0
122,-4.101,43.3043,272.0
123,-4.2708,43.3475,226.0
124,-4.2928,43.3439,198.0
125,-4.2844,43.3425,122.0
126,-5.2561,43.4453,92.0
127,-5.2147,43.4314,53.0
128,-5.2117,43.4356,29.0
129,-5.3128,43.3342,24.0
130,-5.4683,43.3433,99.0
131,-5.5061,43.4861,98.0
132,-5.4819,43.4856,31.0
133,-5.4911,43.4272,372.0
134,-5.535,43.4631,106.0
135,-6.1028,43.5144,147.0
136,-6.2792,43.417,93.0
137,-6.2869,43.3675,33.0
138,-6.2875,43.4433,37.0
139,-6.3458,43.4458,98.0
140,-6.398,43.4447,80.0
141,-7.0744,43.5192,180.0
142,-7.1403,43.46,319.0
143,-7.564,43.4731,134.0
144,-7.5662,43.6281,226.0
145,-7.6636,43.7008,197.0
146,-7.4244,43.1342,97.0
147,-7.8958,43.1197,164.0
148,-7.9032,43.1349,205.0
149,-8.0139,43.1403,96.0
150,-7.995,43.2258,124.0
151,-8.068,43.2053,85.0
152,-8.0783,43.2045,57.0
153,-8.1086,43.1797,104.0
154,-8.08,43.2281,120.0
155,-8.1575,43.4689,108.0
156,-7.9478,43.63,98.0
157,-8.1842,43.5681,357.0
158,-8.3983,43.227,220.0
159,-8.9372,43.155,153.0
160,-8.9478,43.162,58.0
161,-9.0894,42.875,55.0
162,-9.0686,42.8439,75.0
163,-8.4556,42.7609,137.0
164,-8.7061,42.8245,199.0
165,-8.7047,42.8131,143.0
166,-8.7389,42.7175,98.0
167,-8.8878,42.7017,72.0
168,-8.7294,42.6156,55.0
169,-8.7575,42.5656,170.0
170,-8.6203,42.5759,129.0
171,-8.7041,42.4842,222.0
172,-8.3491,42.5536,258.0
173,-8.5842,42.212,189.0
174,-8.58,42.2086,250.0
175,-8.573,42.2522,187.0
176,-7.9611,42.0425,209.0
177,-8.0005,42.2945,145.0
178,-7.3394,41.957,96.0
179,-7.1347,42.1175,415.0
180,-3.2225,43.3058,139.0
181,-3.3589,43.3125,147.0
182,-3.4475,43.1522,198.0
183,-3.4497,43.1483,29.0
184,-3.5839,43.1578,61.0
185,-3.5925,43.1608,110.0
186,-3.6053,43.2031,41.0
187,-3.63,43.2045,207.0
188,-3.6756,43.2239,30.0
189,-3.6906,43.2286,108.0
190,-3.6683,43.2467,78.0
191,-3.6478,43.2981,211.0
192,-3.7706,43.2669,111.0
193,-3.7433,43.2147,63.0
194,-3.7517,43.1178,123.0
195,-3.7528,43.1142,124.0
196,-3.8167,43.1731,81.0
197,-3.8175,43.0803,108.0
198,-3.8544,43.0464,176.0
199,-3.8597,43.042,112.0
200,-3.8894,43.0492,54.0
201,-3.9114,43.035,93.0
202,-3.9786,43.0361,83.0
203,-3.9572,43.0753,254.0
204,-3.9619,43.0895,180.0
205,-3.9731,43.2042,105.0
206,-4.1406,43.2014,53.0
207,-4.0458,43.0961,215.0
208,-4.0447,43.0925,164.0
209,-4.0842,43.0767,226.0
210,-4.0617,43.0731,226.0
211,-4.0369,43.045,244.0
212,-4.0661,43.0345,135.0
213,-4.1042,43.0225,500.0
214,-3.8489,42.9236,70.0
215,-3.8867,42.9189,190.0
216,-3.9511,42.8936,171.0
217,-3.9011,42.8045,84.0
218,-3.913,42.7978,79.0
219,-3.9592,42.8114,246.0
220,-3.9961,42.8492,298.0
221,-4.0542,42.8114,118.0
222,-4.0464,42.8792,381.0
223,-4.0372,42.9195,154.0
224,-4.0592,42.9514,75.0
225,-4.1014,42.9347,167.0
226,-4.1255,42.967,123.0
227,-4.1436,42.9489,186.0
228,-4.2136,42.9681,258.0
229,-4.2472,42.9675,192.0
230,-4.2444,42.9728,260.0
231,-4.2292,43.0681,166.0
232,-4.275,43.1047,134.0
