,Longitude,Latitude,Silt [%]
0,-5.0113,41.4899,1.3
1,-2.7363,42.4142,48.0
2,-4.267,41.3465,2.0
3,-6.6181,38.5071,47.0
4,-1.7449,41.7826,37.6
5,-3.1805,41.3507,22.0
6,-5.0324,41.5823,48.5
7,-2.0805,40.1132,37.2
8,-4.1922,43.1491,52.8
9,-5.9305,42.8624,15.0
10,-5.0741,40.2521,15.2
11,-2.2579,41.0124,24.7
12,-4.5457,41.3026,2.7
13,-1.2815,42.9428,60.0
14,-5.0051,40.3028,12.0
15,-3.9262,41.1259,34.8
16,-3.2111,42.3142,61.6
17,-2.7113,41.9461,23.8
18,-2.7784,42.0553,43.5
19,-2.8216,42.0153,19.7
20,-2.479,42.0504,53.4
21,-2.4564,41.9906,33.3
22,-1.8392,41.8179,39.3
23,-1.8564,41.8224,44.3
24,-2.55,42.8174,27.5
25,-2.65,42.6008,79.0
26,-2.6,42.7841,20.5
27,-1.8278,43.3536,16.2
28,-1.8778,43.3292,19.3
29,-1.8097,43.3272,52.3
30,-1.8053,43.2903,51.6
31,-1.8458,43.2856,35.5
32,-1.9423,43.1386,45.8
33,-2.0039,43.1434,51.0
34,-1.9619,43.222,42.1
35,-2.0256,43.2764,62.3
36,-2.1122,43.2458,14.7
37,-2.1597,43.2397,68.5
38,-2.3111,43.2703,61.1
39,-2.2597,43.1883,50.6
40,-2.4067,43.2347,50.1
41,-2.2039,43.1758,49.1
42,-2.3242,43.1697,57.2
43,-2.5042,43.1625,73.2
44,-2.1068,43.1096,66.9
45,-2.1082,43.1153,47.9
46,-2.3794,43.1286,54.1
47,-2.3939,43.1022,56.9
48,-2.0811,43.0619,61.2
49,-2.2722,43.0625,57.8
50,-2.4047,43.0406,63.7
51,-2.4792,43.0708,64.3
52,-2.1817,42.9764,63.8
53,-2.2883,42.9828,71.2
54,-2.5264,43.0064,61.1
55,-2.5644,42.9995,68.3
56,-2.47,42.8764,75.2
57,-2.5128,42.8961,77.8
58,-2.6256,43.0492,46.2
59,-2.6044,43.0245,60.4
60,-2.5411,43.0389,56.1
61,-2.5894,43.0106,60.7
62,-2.5439,43.0536,51.9
63,-2.6017,43.0092,65.8
64,-2.9528,43.0397,65.7
65,-2.9469,43.017,63.9
66,-3.0381,43.1083,33.2
67,-3.0772,43.0925,58.5
68,-3.0628,43.1217,48.1
69,-3.0314,43.1408,64.8
70,-2.8353,43.1508,52.4
71,-2.7644,43.3989,49.8
72,-2.7586,43.38,28.3
73,-2.6347,43.3717,63.7
74,-2.6931,43.312,58.1
75,-2.4728,43.2531,52.9
76,-2.5847,43.2981,50.4
77,-2.5828,43.2839,36.1
78,-2.6144,43.2933,55.4
79,-2.5833,43.1956,17.2
80,-2.6272,43.2064,10.4
81,-2.6222,43.2047,27.1
82,-2.6506,43.1683,26.1
83,-2.6611,43.1597,40.4
84,-2.6494,43.1439,47.5
85,-2.65,43.1917,52.8
86,-2.6503,43.1358,43.8
87,-2.6569,43.0772,57.9
88,-2.7069,43.0753,44.1
89,-2.7714,43.1267,54.1
90,-2.7961,43.1053,58.2
91,-2.7872,43.1122,61.1
92,-2.8333,43.2597,45.9
93,-2.8347,43.2586,45.2
94,-2.8528,43.2228,56.1
95,-2.87,43.2397,59.1
96,-2.8397,43.1467,53.2
97,-2.8394,43.1439,57.2
98,-2.9711,43.0953,47.1
99,-2.9367,43.132,50.1
100,-3.0986,43.2975,18.0
101,-3.0917,43.1995,33.9
102,-3.0828,43.1772,46.9
103,-3.0597,43.1764,48.6
104,-3.2214,43.2014,66.1
105,-3.1314,43.19,48.9
106,-3.1714,43.2617,52.2
107,-3.1772,43.2603,60.9
108,-3.2097,43.2142,21.6
109,-3.2481,43.2758,45.8
110,-3.2439,43.2731,48.4
111,-3.2592,43.2753,60.1
112,-3.3228,43.2106,38.4
113,-3.3678,43.2417,35.6
114,-3.1994,43.3103,26.2
115,-3.1717,43.3108,55.5
116,-3.2361,43.3422,65.2
117,-3.2772,43.3881,50.2
118,-5.2927,36.5603,39.2
119,-5.2752,36.566,32.1
120,-4.9962,41.1533,17.7
121,-4.24,41.3081,36.0
122,-4.5422,39.6631,26.4
123,-2.7006,43.2814,66.3
124,-4.4882,41.2676,8.9
125,-3.2814,43.3736,50.4
126,-3.2861,43.2981,46.5
127,-3.3278,43.3078,42.5
128,-3.8971,43.1429,30.3
129,-3.889,43.2828,66.3
130,-3.9195,43.2854,38.0
131,-3.9191,43.2566,61.6
132,-4.113,43.3033,59.1
133,-4.0138,43.2471,55.3
134,-4.0744,43.2264,42.3
135,-4.101,43.3043,31.9
136,-4.2708,43.3475,51.5
137,-4.2928,43.3439,54.8
138,-4.2844,43.3425,35.3
139,-5.2561,43.4453,19.4
140,-5.2147,43.4314,21.6
141,-5.2117,43.4356,14.2
142,-5.3128,43.3342,13.4
143,-5.4683,43.3433,51.9
144,-5.5061,43.4861,26.6
145,-5.4819,43.4856,34.6
146,-5.4911,43.4272,45.2
147,-5.535,43.4631,39.5
148,-6.1028,43.5144,35.6
149,-6.2792,43.417,46.9
150,-6.2869,43.3675,68.5
151,-6.2875,43.4433,63.5
152,-6.3458,43.4458,50.6
153,-6.398,43.4447,32.5
154,-7.0744,43.5192,64.2
155,-7.1403,43.46,65.3
156,-7.564,43.4731,19.9
157,-7.5662,43.6281,20.1
158,-7.6636,43.7008,32.8
159,-7.4244,43.1342,43.9
160,-7.8958,43.1197,49.6
161,-7.9032,43.1349,31.1
162,-8.0139,43.1403,44.7
163,-7.995,43.2258,54.9
164,-8.068,43.2053,30.4
165,-8.0783,43.2045,57.9
166,-8.1086,43.1797,28.3
167,-8.08,43.2281,31.2
168,-8.1575,43.4689,47.2
169,-7.9478,43.63,48.5
170,-8.1842,43.5681,53.9
171,-8.3983,43.227,45.9
172,-8.9372,43.155,51.2
173,-8.9478,43.162,37.2
174,-9.0894,42.875,19.2
175,-9.0686,42.8439,26.3
176,-8.4556,42.7609,24.9
177,-8.7061,42.8245,30.7
178,-8.7047,42.8131,28.9
179,-8.7389,42.7175,30.5
180,-8.8878,42.7017,30.5
181,-8.7294,42.6156,24.4
182,-8.7575,42.5656,19.1
183,-8.6203,42.5759,31.7
184,-8.7041,42.4842,40.6
185,-8.3491,42.5536,38.8
186,-8.5842,42.212,20.6
187,-8.58,42.2086,41.5
188,-8.573,42.2522,35.9
189,-7.9611,42.0425,26.2
190,-8.0005,42.2945,62.1
191,-7.3394,41.957,45.5
192,-7.1347,42.1175,56.4
193,-3.2225,43.3058,52.8
194,-3.3589,43.3125,64.2
195,-3.4475,43.1522,37.4
196,-3.4497,43.1483,22.2
197,-3.5839,43.1578,24.8
198,-3.5925,43.1608,48.5
199,-3.6053,43.2031,22.4
200,-3.63,43.2045,33.1
201,-3.6756,43.2239,26.8
202,-3.6906,43.2286,48.5
203,-3.6683,43.2467,25.0
204,-3.6478,43.2981,42.0
205,-3.7706,43.2669,51.5
206,-3.7433,43.2147,38.2
207,-3.7517,43.1178,41.8
208,-3.7528,43.1142,34.4
209,-3.8167,43.1731,41.5
210,-3.8175,43.0803,29.8
211,-3.8544,43.0464,42.4
212,-3.8597,43.042,30.9
213,-3.8894,43.0492,44.2
214,-3.9114,43.035,20.2
215,-3.9786,43.0361,26.6
216,-3.9572,43.0753,36.7
217,-3.9619,43.0895,23.4
218,-3.9731,43.2042,30.2
219,-4.1406,43.2014,31.9
220,-4.1242,43.1197,45.8
221,-4.0458,43.0961,45.9
222,-4.0447,43.0925,41.0
223,-4.0842,43.0767,31.1
224,-4.0617,43.0731,44.1
225,-4.0369,43.045,50.1
226,-4.0661,43.0345,44.8
227,-4.1042,43.0225,39.5
228,-3.8489,42.9236,19.0
229,-3.8867,42.9189,36.5
230,-3.9511,42.8936,38.7
231,-3.9011,42.8045,31.3
232,-3.913,42.7978,12.5
233,-3.9592,42.8114,40.9
234,-3.9961,42.8492,41.0
235,-4.0542,42.8114,18.7
236,-4.0464,42.8792,41.2
237,-4.0372,42.9195,32.0
238,-4.0592,42.9514,23.5
239,-4.1014,42.9347,31.2
240,-4.1255,42.967,15.8
241,-4.1436,42.9489,43.1
