,Longitude,Latitude,Na [mg/kg]
0,-7.6697,43.5136,61.0
1,-7.5197,43.5813,57.0
2,-7.6461,43.5361,64.0
3,-7.4186,43.5947,97.0
4,-7.4953,43.5836,86.0
5,-7.4586,43.593,71.0
6,-7.4342,43.5872,57.0
7,-7.46,43.4466,28.0
8,-7.4053,43.4541,47.0
9,-7.6181,43.4208,54.0
10,-7.6308,43.448,37.0
11,-7.5331,43.5925,61.0
12,-7.5628,43.548,82.0
13,-7.4897,43.4466,47.0
14,-7.5091,43.5183,50.0
15,-7.6908,43.3086,34.0
16,-7.6686,43.4947,86.0
17,-7.5828,43.5538,54.0
18,-7.5836,43.5141,50.0
19,-7.4253,43.4758,54.0
20,-7.635,43.4863,37.0
21,-7.5303,43.4647,58.0
22,-7.5464,43.4338,47.0
23,-7.5386,43.4902,57.0
24,-7.5881,43.4705,50.0
25,-7.5942,43.4619,75.0
26,-7.5539,43.4638,50.0
27,-7.5336,43.5508,57.0
28,-7.4164,43.5911,50.0
29,-7.5389,43.5563,54.0
30,-7.5114,43.5413,136.0
31,-7.4497,43.4627,58.0
32,-7.4461,43.4214,28.0
33,-3.9609,40.6036,378.0
34,-2.5,42.5021,23.0
35,-2.595,43.0236,46.0
36,-2.4166,42.5341,46.0
37,-2.6333,42.9924,46.0
38,-2.5833,42.9508,46.0
39,-2.5833,42.8549,69.0
40,-2.6333,42.8424,69.0
41,-2.7167,42.9341,69.0
42,-2.55,42.823,69.0
43,-2.4747,42.7347,46.0
44,-2.303,42.7924,46.0
45,-2.2722,42.8102,92.0
46,-2.6667,42.5846,46.0
47,-2.6166,42.4994,23.0
48,-2.5666,42.5452,37605.0
49,-2.5,42.6016,46.0
50,-2.4878,42.6222,23.0
51,-2.45,39.2507,46.0
52,-2.4277,39.2498,23.0
53,-2.3486,39.2396,69.0
54,-2.45,39.0618,46.0
55,-2.0166,39.0173,46.0
56,-1.8333,38.9173,23.0
57,-1.8944,38.7256,23.0
58,-1.8999,38.734,23.0
59,-1.7333,38.8006,46.0
60,-2.6427,38.5734,138.0
61,-2.6655,38.6005,92.0
62,-2.6988,38.6908,46.0
63,-2.55,38.6506,23.0
64,-2.55,38.5673,184.0
65,-2.5,38.6173,345.0
66,-2.4166,38.434,46.0
67,-0.1498,38.8506,46.0
68,-0.8166,38.7173,23.0
69,-0.7832,38.734,138.0
70,-0.5332,38.684,69.0
71,-0.4832,38.7673,46.0
72,0.0502,38.7006,92.0
73,-0.8166,38.184,230.0
74,-0.7999,38.2006,6808.0
75,-0.7666,38.2006,8050.0
76,-0.5987,38.1923,9821.0
77,-0.6332,38.184,2691.0
78,-0.9499,38.1173,276.0
79,-0.9666,38.0173,161.0
80,-0.8832,38.0173,322.0
81,-0.6665,38.1006,460.0
82,-2.2333,37.8173,23.0
83,-2.2833,37.7006,23.0
84,-2.0666,37.734,23.0
85,-2.3,37.6006,46.0
86,-2.1333,37.5506,23.0
87,-2.5166,37.3506,69.0
88,-2.4166,37.4173,46.0
89,-2.35,37.4673,598.0
90,-2.2333,37.4339,69.0
91,-2.1387,37.3839,23.0
