,Valores Faltantes,Muestras Totales
Latitude,0,[6599.0]
Longitude,0,[6599.0]
UTM east [m],0,[6599.0]
UTM north [m],0,[6599.0]
Litho [%] (Coarse material),2753,[6599.0]
Sand [%],288,[6599.0]
Silt [%],291,[6599.0]
Clay min [%],287,[6599.0]
OM [%],10,[6599.0]
TOC [%],10,[6599.0]
pH,1112,[6599.0]
Carb [%],4975,[6599.0]
C/N,2539,[6599.0]
TN [mg/kg],3773,[6599.0]
P [mg/kg],5201,[6599.0]
K [mg/kg],3634,[6599.0]
Ca [mg/kg],3858,[6599.0]
Mg [mg/kg],4141,[6599.0]
Na [mg/kg],5386,[6599.0]
CEC [cmol/kg],4205,[6599.0]
Cond electr [mS/m],5181,[6599.0]
Gp [%],6547,[6599.0]
